query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
Cancel my first meeting on December 13,"['calendar.search_events.func(time_min=""2023-12-13 09:00:00"", time_max=""2023-12-13 17:00:00"")', 'calendar.delete_event.func(event_id=""00000256"")']",Meeting on December 13 has been canceled.,,improved,"['calendar.delete_event.func(event_id=""00000256"")']",Cancel my first meeting on {natural_language_date},Cancel my first meeting on {natural_language_date},['calendar'],calendar,True,False,uncovered,calendar
Cancel my first meeting on December 18,"['calendar.search_events.func(time_min=""2023-12-18 00:00:00"", time_max=""2023-12-18 23:59:59"")', 'calendar.delete_event.func(event_id=""00000047"")']",First meeting on December 18 has been canceled.,,improved,"['calendar.delete_event.func(event_id=""00000047"")']",Cancel my first meeting on {natural_language_date},Cancel my first meeting on {natural_language_date},['calendar'],calendar,True,False,uncovered,calendar
Cancel my first meeting on December 7,"['calendar.search_events.func(query=""2023-12-07"", time_min=""2023-12-07 00:00:00"", time_max=""2023-12-07 23:59:59"")', 'calendar.search_events.func(query=""2023-12-08"", time_min=""2023-12-08 00:00:00"", time_max=""2023-12-08 23:59:59"")', 'calendar.search_events.func(query=""2023-12-09"", time_min=""2023-12-09 00:00:00"", time_max=""2023-12-09 23:59:59"")', 'calendar.search_events.func(query=""2023-12-10"", time_min=""2023-12-10 00:00:00"", time_max=""2023-12-10 23:59:59"")', 'calendar.search_events.func(query=""2023-12-11"", time_min=""2023-12-11 00:00:00"", time_max=""2023-12-11 23:59:59"")']",No meetings found for cancellation on December 7 or any of the following days.,,improved,"['calendar.delete_event.func(event_id=""00000019"")']",Cancel my first meeting on {natural_language_date},Cancel my first meeting on {natural_language_date},['calendar'],calendar,False,False,uncovered,calendar
Change the name of the last event on December 12 to Machine Learning Chat,"['calendar.search_events.func(time_min=""2023-12-12 00:00:00"", time_max=""2023-12-12 23:59:59"")', 'calendar.update_event.func(event_id=""00000208"", field=""event_name"", new_value=""Machine Learning Chat"")']",The event's name has been successfully updated to 'Machine Learning Chat'.,,improved,"['calendar.update_event.func(event_id=""00000208"", field=""event_name"", new_value=""Machine Learning Chat"")']",Change the name of the last event on {natural_language_date} to {event_name},Change the name of the last event on {natural_language_date} to {event_name},['calendar'],calendar,True,False,uncovered,calendar
Can you change the name of the last event on December 14 to quarterly tech roundup,"['calendar.search_events.func(time_min=""2023-12-14 00:00:00"", time_max=""2023-12-14 23:59:59"")', 'calendar.update_event.func(event_id=""00000082"", field=""event_name"", new_value=""quarterly tech roundup"")']",The event name has been successfully changed to 'quarterly tech roundup'.,,improved,"['calendar.update_event.func(event_id=""00000082"", field=""event_name"", new_value=""quarterly tech roundup"")']",Change the name of the last event on {natural_language_date} to {event_name},Can you change the name of the last event on {natural_language_date} to {event_name},['calendar'],calendar,True,False,uncovered,calendar
Push back my first meeting with yuki on December 4 by 2 hours,"['calendar.search_events.func(query=""Yuki"", time_min=""2023-12-04 09:00:00"", time_max=""2023-12-04 18:00:00"")', 'calendar.update_event.func(event_id=""00000062"", field=""event_start"", new_value=""2023-12-04 12:30:00"")']",The meeting with Yuki on December 4 has been pushed back to 12:30.,,improved,"['calendar.update_event.func(event_id=""00000062"", field=""event_start"", new_value=""2023-12-04 16:30:00"")']",Push back my first meeting with {name} on {natural_language_date} by {duration}s,Push back my first meeting with {name} on {natural_language_date} by {duration}s,['calendar'],calendar,False,True,uncovered,calendar
please move my first meeting with dmitri on December 18 by 2 hours,"['calendar.search_events.func(query=""Dmitri"", time_min=""2023-12-18 09:00:00"", time_max=""2023-12-18 18:00:00"")', 'calendar.search_events.func(query=""Dmitri"", time_min=""2023-12-18 09:00:00"", time_max=""2023-12-18 18:00:00"")', 'calendar.update_event.func(event_id=""00000047"", field=""event_start"", new_value=""2023-12-18 15:30:00"")']",Meeting with Dmitri on December 18 has been moved by 2 hours.,,improved,"['calendar.update_event.func(event_id=""00000047"", field=""event_start"", new_value=""2023-12-18 15:30:00"")']",Push back my first meeting with {name} on {natural_language_date} by {duration}s,please move my first meeting with {name} on {natural_language_date} by {duration}s,['calendar'],calendar,True,False,uncovered,calendar
Push back my first meeting with dmitri on December 18 by 1 hours,"['calendar.search_events.func(query=""dmitri"", time_min=""2023-12-18 09:00:00"", time_max=""2023-12-18 23:59:59"")', 'calendar.search_events.func(query=""dmitri"", time_min=""2023-12-18 09:00:00"", time_max=""2023-12-18 23:59:59"")', 'calendar.update_event.func(event_id=""00000047"", field=""event_start"", new_value=""2023-12-18 14:30:00"")']",First meeting with dmitri on December 18 has been pushed back by 1 hour.,,improved,"['calendar.update_event.func(event_id=""00000047"", field=""event_start"", new_value=""2023-12-18 14:30:00"")']",Push back my first meeting with {name} on {natural_language_date} by {duration}s,Push back my first meeting with {name} on {natural_language_date} by {duration}s,['calendar'],calendar,True,False,uncovered,calendar
Can you cancel the next project checkpoint meeting,"['calendar.search_events.func(query=""project checkpoint"", time_min=""2023-11-30 00:00:00"")', 'calendar.delete_event.func(event_id=""00000237"")']",The next project checkpoint meeting has been successfully canceled.,,improved,"['calendar.delete_event.func(event_id=""00000237"")']",Cancel the next {event_name} meeting,Can you cancel the next {event_name} meeting,['calendar'],calendar,True,False,uncovered,calendar
Delete the next Annual Budget Planning Session meeting,"['calendar.search_events.func(query=""Annual Budget Planning Session"", time_min=""2023-11-30 09:00:00"", time_max=""2023-12-01 18:00:00"")', 'calendar.delete_event.func(event_id=""00000200"")']",Meeting deleted successfully.,,improved,"['calendar.delete_event.func(event_id=""00000200"")']",Cancel the next {event_name} meeting,Delete the next {event_name} meeting,['calendar'],calendar,True,False,uncovered,calendar
