query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
Delete my last email from anaya,"['email.search_emails.func(query=""anaya"", date_min=""2023-11-01"", date_max=""2023-11-30"")', 'email.delete_email.func(email_id=""00000166"")']",The last email from Anaya has been deleted successfully.,,improved,"['email.delete_email.func(email_id=""00000166"")']",Delete my last email from {name},Delete my last email from {name},['email'],email,True,False,uncovered,email
anaya just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?,"['email.search_emails.func(query=""anaya"", date_min=""2023-11-01"", date_max=""2023-11-30"")', 'email.delete_email.func(email_id=""00000166"")']",The most recent email from Anaya has been deleted successfully.,,improved,"['email.delete_email.func(email_id=""00000166"")']",Delete my last email from {name},{name} just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?,['email'],email,True,False,uncovered,email
I need to get rid of all my emails from nia from the last 4 days. Can you do delete them?,"['email.search_emails.func(query=""nia"", date_min=""2023-11-26"", date_max=""2023-11-30"")', 'email.delete_email.func(email_id=""00000066"")']",All emails from nia from the last 4 days have been deleted successfully.,,improved,"['email.delete_email.func(email_id=""00000066"")']",Delete all my emails from {name} from the last {days} days,I need to get rid of all my emails from {name} from the last {days} days. Can you do delete them?,['email'],email,True,False,uncovered,email
"I need to send an email to kofi saying 'Hey kofi,\n\nI wanted to let you know that I've completed the tasks for the status briefing. Looking forward to your feedback.\n\nCheers,\n\nSam' and title it 'Task Update on Improve UX of onboarding process'. Can you do that?","['company_directory.find_email_address.func(name=""Kofi"")', 'email.send_email.func(recipient=""kofi.mensah@atlas.com"", subject=""Task Update on Improve UX of onboarding process"", body=""Hey kofi,\\n\\nI wanted to let you know that I\'ve completed the tasks for the status briefing. Looking forward to your feedback.\\n\\nCheers,\\n\\nSam"")']",Email sent successfully to Kofi.,,improved,"['email.send_email.func(recipient=""kofi.mensah@atlas.com"", subject=""Task Update on Improve UX of onboarding process"", body=""Hey kofi,\\n\\nI wanted to let you know that I\'ve completed the tasks for the status briefing. Looking forward to your feedback.\\n\\nCheers,\\n\\nSam"")']",Send an email to {name} saying '{body}' and title it '{subject}',I need to send an email to {name} saying '{body}' and title it '{subject}'. Can you do that?,['email'],email,True,False,uncovered,email
"I need to send an email to amir saying 'amir,\n\nRegarding task 'Add authentication for email notification', I've made significant progress but have hit a snag with UI responsiveness. Could use a brainstorm session.\n\nAdditionally, I wanted to touch base on some other areas we've been focusing on lately. Our team has been working tirelessly on improving our project management workflows and enhancing collaboration across departments. This effort includes adopting new tools, refining our communication strategies, and ensuring that all team members are fully aligned with our objectifs.\n\nRegards,\n\nSam' and title it 'Update on status briefing'. Can you do that?","['company_directory.find_email_address.func(name=""Amir"")', 'email.send_email.func(recipient=""amir.ali@atlas.com"", subject=""Update on status briefing"", body=""amir,\\n\\nRegarding task \'Add authentication for email notification\', I\'ve made significant progress but have hit a snag with UI responsiveness. Could use a brainstorm session.\\n\\nAdditionally, I wanted to touch base on some other areas we\'ve been focusing on lately. Our team has been working tirelessly on improving our project management workflows and enhancing collaboration across departments. This effort includes adopting new tools, refining our communication strategies, and ensuring that all team members are fully aligned with our objectifs.\\n\\nRegards,\\n\\nSam"")']",Email sent successfully to Amir.,,improved,"['email.send_email.func(recipient=""amir.ali@atlas.com"", subject=""Update on status briefing"", body=""amir,\\n\\nRegarding task \'Add authentication for email notification\', I\'ve made significant progress but have hit a snag with UI responsiveness. Could use a brainstorm session.\\n\\nAdditionally, I wanted to touch base on some other areas we\'ve been focusing on lately. Our team has been working tirelessly on improving our project management workflows and enhancing collaboration across departments. This effort includes adopting new tools, refining our communication strategies, and ensuring that all team members are fully aligned with our objectifs.\\n\\nRegards,\\n\\nSam"")']",Send an email to {name} saying '{body}' and title it '{subject}',I need to send an email to {name} saying '{body}' and title it '{subject}'. Can you do that?,['email'],email,True,False,uncovered,email
I need to get back to dmitri's last email about 'Update on team coordination meeting' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?,"['email.search_emails.func(query=""Update on team coordination meeting"")', 'email.reply_email.func(email_id=""00000313"", body=""Thanks for the update - I will get back to you tomorrow."")']",Reply to Dmitri's email has been successfully sent.,,improved,"['email.reply_email.func(email_id=""00000313"", body=""Thanks for the update - I will get back to you tomorrow."")']",Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',I need to get back to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?,['email'],email,True,False,uncovered,email
Reply to chenwei's last email about 'Task Update on Develop prototype for login system' with 'Thanks for the update - I will get back to you tomorrow.',"['email.search_emails.func(query=""Task Update on Develop prototype for login system"", date_min=""2023-11-01"", date_max=""2023-11-30"")', 'email.reply_email.func(email_id=""00000204"", body=""Thanks for the update - I will get back to you tomorrow."")']",Reply sent successfully.,,improved,"['email.reply_email.func(email_id=""00000239"", body=""Thanks for the update - I will get back to you tomorrow."")']",Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',['email'],email,False,True,uncovered,email
Forward all the emails from fatima last week about 'Task Update on Develop prototype for report generation' to anaya,"['company_directory.find_email_address.func(name=""Fatima"")', 'email.search_emails.func(query=""Task Update on Develop prototype for report generation"", date_min=""2023-11-20"", date_max=""2023-11-26"")', 'company_directory.find_email_address.func(name=""Anaya"")', 'email.forward_email.func(email_id=""00000017"", recipient=""anaya.patel@atlas.com"")']",The email from Fatima regarding 'Task Update on Develop prototype for report generation' has been successfully forwarded to Anaya.,,improved,"['email.forward_email.func(email_id=""00000017"", recipient=""anaya.patel@atlas.com"")']",Forward all the emails from {name} last week about '{subject}' to {recipient_name},Forward all the emails from {name} last week about '{subject}' to {recipient_name},['email'],email,True,False,uncovered,email
Forward the latest email about 'Task Update on Add authentication for email notification' to olga,"['email.search_emails.func(query=""Task Update on Add authentication for email notification"")', 'company_directory.find_email_address.func(name=""Olga"")', 'email.forward_email.func(email_id=""00000436"", recipient=""olga.petrova@atlas.com"")']",Email forwarded successfully to Olga.,,improved,"['email.forward_email.func(email_id=""00000436"", recipient=""olga.petrova@atlas.com"")']",Forward the latest email about '{subject}' to {recipient_name},Forward the latest email about '{subject}' to {recipient_name},['email'],email,True,False,uncovered,email
Forward the latest email about 'Task Update on Design logo for blog' to yuki,"['email.search_emails.func(query=""Task Update on Design logo for blog"", date_min=""2023-11-01"", date_max=""2023-11-30"")', 'company_directory.find_email_address.func(name=""Yuki"")', 'email.forward_email.func(email_id=""00000415"", recipient=""yuki.tanaka@atlas.com"")']",Email forwarded successfully to Yuki.,,improved,"['email.forward_email.func(email_id=""00000415"", recipient=""yuki.tanaka@atlas.com"")']",Forward the latest email about '{subject}' to {recipient_name},Forward the latest email about '{subject}' to {recipient_name},['email'],email,True,False,uncovered,email
