query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
Delete my last email from nadia,"['email.search_emails.func(query=""nadia"", date_max=""2023-11-30"")', 'email.delete_email.func(email_id=""00000479"")']",Email deleted successfully.,,improved,"['email.delete_email.func(email_id=""00000479"")']",Delete my last email from {name},Delete my last email from {name},['email'],email,True,False,uncovered,email
Delete my last email from yuki,"['email.search_emails.func(query=""yuki"", date_min=""2023-11-30"", date_max=""2023-11-30"")', 'email.search_emails.func(query=""yuki"")', 'email.delete_email.func(email_id=""00000149"")']",Email deleted successfully.,,improved,"['email.delete_email.func(email_id=""00000149"")']",Delete my last email from {name},Delete my last email from {name},['email'],email,True,False,uncovered,email
anaya just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?,"['email.search_emails.func(query=""Anaya"", date_min=""2023-11-30"", date_max=""2023-11-30"")', 'email.search_emails.func(query=""Anaya"", date_min=""2023-01-01"", date_max=""2023-11-30"")', 'email.delete_email.func(email_id=""00000166"")']",Email from Anaya deleted successfully.,,improved,"['email.delete_email.func(email_id=""00000166"")']",Delete my last email from {name},{name} just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?,['email'],email,True,False,uncovered,email
I need to get rid of all my emails from amir from the last 6 days. Can you do delete them?,"['email.search_emails.func(query=""amir"", date_min=""2026-07-10"")']",No emails from Amir found in the last 6 days.,,improved,"['email.delete_email.func(email_id=""00000196"")', 'email.delete_email.func(email_id=""00000291"")', 'email.delete_email.func(email_id=""00000188"")']",Delete all my emails from {name} from the last {days} days,I need to get rid of all my emails from {name} from the last {days} days. Can you do delete them?,['email'],email,False,False,uncovered,email
I need to get rid of all my emails from nadia from the last 2 days. Can you do delete them?,"['email.search_emails.func(query=""nadia"", date_min=""2026-07-14"", date_max=""2026-07-16"")']",No emails from Nadia in the last 2 days.,,improved,"['email.delete_email.func(email_id=""00000479"")']",Delete all my emails from {name} from the last {days} days,I need to get rid of all my emails from {name} from the last {days} days. Can you do delete them?,['email'],email,False,False,uncovered,email
"I need to send an email to kofi saying 'Hey kofi,\n\nI wanted to let you know that I've completed the tasks for the status briefing. Looking forward to your feedback.\n\nCheers,\n\nSam' and title it 'Task Update on Improve UX of onboarding process'. Can you do that?","['company_directory.find_email_address.func(name=""Kofi"")', 'email.send_email.func(recipient=""kofi.mensah@atlas.com"", subject=""Task Update on Improve UX of onboarding process"", body=""Hey Kofi,\\n\\nI wanted to let you know that I\'ve completed the tasks for the status briefing. Looking forward to your feedback.\\n\\nCheers,\\n\\nSam"")']",Email sent successfully.,,improved,"['email.send_email.func(recipient=""kofi.mensah@atlas.com"", subject=""Task Update on Improve UX of onboarding process"", body=""Hey kofi,\\n\\nI wanted to let you know that I\'ve completed the tasks for the status briefing. Looking forward to your feedback.\\n\\nCheers,\\n\\nSam"")']",Send an email to {name} saying '{body}' and title it '{subject}',I need to send an email to {name} saying '{body}' and title it '{subject}'. Can you do that?,['email'],email,True,False,uncovered,email
"Send an email to lena saying 'lena,\n\nI've been assigned 'Develop prototype for report generation'. Excited to work on this and confident it will greatly improve our backend efficiency.\n\nCheers,\n\nSam' and title it 'Task Update on Create wireframe for homepage'","['email.send_email.func(recipient=""lena@example.com"", subject=""Task Update on Create wireframe for homepage"", body=""lena,\\n\\nI\'ve been assigned \'Develop prototype for report generation\'. Excited to work on this and confident it will greatly improve our backend efficiency.\\n\\nCheers,\\n\\nSam"")', 'email.send_email.func(recipient=""lena@example.com"", subject=""Task Update on Create wireframe for homepage"", body=""lena,\\n\\nI\'ve been assigned \'Develop prototype for report generation\'. Excited to work on this and confident it will greatly improve our backend efficiency.\\n\\nCheers,\\n\\nSam"")', 'email.send_email.func(recipient=""lena@example.com"", subject=""Task Update on Create wireframe for homepage"", body=""lena,\\n\\nI\'ve been assigned \'Develop prototype for report generation\'. Excited to work on this and confident it will greatly improve our backend efficiency.\\n\\nCheers,\\n\\nSam"")']",Email sent successfully.,,improved,"['email.send_email.func(recipient=""lena.schmidt@atlas.com"", subject=""Task Update on Create wireframe for homepage"", body=""lena,\\n\\nI\'ve been assigned \'Develop prototype for report generation\'. Excited to work on this and confident it will greatly improve our backend efficiency.\\n\\nCheers,\\n\\nSam"")']",Send an email to {name} saying '{body}' and title it '{subject}',Send an email to {name} saying '{body}' and title it '{subject}',['email'],email,False,True,uncovered,email
"I need to send an email to dmitri saying 'Hey dmitri,\n\nI have some ideas for the process review that I'd like to run by you. When are you free?\n\nThanks,\n\nSam' and title it 'Update on Product Launch Analysis'. Can you do that?","['company_directory.find_email_address.func(name=""dmitri"")', 'email.send_email.func(recipient=""dmitri.ivanov@atlas.com"", subject=""Update on Product Launch Analysis"", body=""Hey dmitri,\\n\\nI have some ideas for the process review that I\'d like to run by you. When are you free?\\n\\nThanks,\\n\\nSam"")']",Email sent successfully.,,improved,"['email.send_email.func(recipient=""dmitri.ivanov@atlas.com"", subject=""Update on Product Launch Analysis"", body=""Hey dmitri,\\n\\nI have some ideas for the process review that I\'d like to run by you. When are you free?\\n\\nThanks,\\n\\nSam"")']",Send an email to {name} saying '{body}' and title it '{subject}',I need to send an email to {name} saying '{body}' and title it '{subject}'. Can you do that?,['email'],email,True,False,uncovered,email
I need to get back to dmitri's last email about 'Update on team coordination meeting' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?,"['company_directory.find_email_address.func(name=""dmitri"")', 'email.search_emails.func(query=""Update on team coordination meeting"", date_min=""2023-11-30 00:00:00"", date_max=""2023-11-30 23:59:59"")', 'email.search_emails.func(query=""Update on team coordination meeting"")', 'email.get_email_information_by_id.func(email_id=""00000496"", field=""body"")', 'email.send_email.func(recipient=""[\'dmitri.ivanov@atlas.com\']"", subject=""Re: Update on team coordination meeting"", body=""Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?"")', 'email.send_email.func(recipient=""dmitri.ivanov@atlas.com"", subject=""Re: Update on team coordination meeting"", body=""Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?"")']",Email sent successfully.,,improved,"['email.reply_email.func(email_id=""00000313"", body=""Thanks for the update - I will get back to you tomorrow."")']",Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',I need to get back to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?,['email'],email,False,True,uncovered,email
I need to get back to lena's last email about 'Update on Leadership Training Workshop' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?,"['email.search_emails.func(query=""Update on Leadership Training Workshop Lena"", date_max=""2023-11-30"")', 'email.reply_email.func(email_id=""00000048"", body=""Thanks for the update - I will get back to you tomorrow."")']",Email replied successfully.,,improved,"['email.reply_email.func(email_id=""00000048"", body=""Thanks for the update - I will get back to you tomorrow."")']",Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',I need to get back to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow. Can you send the reply for me?,['email'],email,True,False,uncovered,email
