query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
"I haven't spoken to Quinn Thomas in a while. Can you check if it's been over 14 days? If so, book a 30-minute meeting with whoever is assigned to them called 'Update on Quinn Thomas' at the first time I'm free tomorrow","['customer_relationship_manager.search_customers.func(customer_name=""Quinn Thomas"", customer_email="""", product_interest="""", status="""", assigned_to_email="""", last_contact_date_min="""", last_contact_date_max="""")', 'calendar.search_events.func(time_min=""2023-12-01 09:00:00"", time_max=""2023-12-01 18:00:00"")', 'calendar.create_event.func(event_name=""Update on Quinn Thomas"", participant_email=""akira.sato@atlas.com"", event_start=""2023-12-01 15:00:00"", duration=""30"")']",The meeting 'Update on Quinn Thomas' has been scheduled for December 1st at 03:00 PM with Akira Sato. Event ID: 00000300.,,improved,"['calendar.create_event.func(event_name=""Update on Quinn Thomas"", participant_email=""akira.sato@atlas.com"", event_start=""2023-12-01 13:00:00"", duration=""30"")']",If we haven't spoke to {current_customer_name} in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow,"I haven't spoken to {current_customer_name} in a while. Can you check if it's been over 14 days? If so, book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow","['crm', 'calendar']",multi_domain,False,True,uncovered,multi_domain
"I haven't spoken to Jamie Davis in a while. Can you check if it's been over 14 days? If so, book a 30-minute meeting with whoever is assigned to them called 'Update on Jamie Davis' at the first time I'm free tomorrow","['customer_relationship_manager.search_customers.func(customer_name=""Jamie Davis"", customer_email="""", product_interest="""", status="""", assigned_to_email="""", last_contact_date_min="""", last_contact_date_max="""")', 'calendar.search_events.func(time_min=""2023-12-01 09:00:00"", time_max=""2023-12-01 18:00:00"")', 'calendar.create_event.func(event_name=""Update on Jamie Davis"", participant_email=""sofia.santos@atlas.com"", event_start=""2023-12-01 14:00:00"", duration=""30"")']",The meeting 'Update on Jamie Davis' has been successfully scheduled for 14:00 to 14:30 on 2023-12-01 with Sofia Santos.,,improved,"['calendar.create_event.func(event_name=""Update on Jamie Davis"", participant_email=""sofia.santos@atlas.com"", event_start=""2023-12-01 13:00:00"", duration=""30"")']",If we haven't spoke to {current_customer_name} in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow,"I haven't spoken to {current_customer_name} in a while. Can you check if it's been over 14 days? If so, book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow","['crm', 'calendar']",multi_domain,False,True,uncovered,multi_domain
Can you find the person with the fewest overdue tasks and assign Quinn Thomas to them as a new lead in the crm?,"['customer_relationship_manager.search_customers.func(customer_name="""", customer_email="""", product_interest="""", status="""", assigned_to_email="""", last_contact_date_min="""", last_contact_date_max="""", follow_up_by_min="""", follow_up_by_max="""")', 'customer_relationship_manager.search_customers.func(customer_name="""", status=""Lead"")', 'project_management.search_tasks.func(assigned_to_email=""lena.schmidt@atlas.com"", due_date="""")', 'project_management.search_tasks.func(assigned_to_email=""raj.patel@atlas.com"", due_date="""")', 'project_management.search_tasks.func(assigned_to_email=""raj.patel@atlas.com"", due_date="""")', 'project_management.search_tasks.func(assigned_to_email=""lena.schmidt@atlas.com"", due_date="""")', 'project_management.search_tasks.func(assigned_to_email=""nadia.moreau@atlas.com"", due_date="""")', 'customer_relationship_manager.add_customer.func(customer_name=""Quinn Thomas"", assigned_to_email=""lena.schmidt@atlas.com"", status=""Lead"", customer_email=""quinn.thomas@flexenergy.com"", customer_phone=""123-456-7890"", last_contact_date=""2023-11-30"", product_interest=""Hardware"", notes=""New lead assigned."", follow_up_by=""2023-12-30"")']",Quinn Thomas has been assigned as a new lead with customer ID: 00000200.,,improved,"['customer_relationship_manager.add_customer.func(customer_name=""Quinn Thomas"", assigned_to_email=""anaya.patel@atlas.com"", status=""Lead"")']", Add {new_customer_name} as a new lead in the crm and assign them to the person with the fewest overdue tasks,Can you find the person with the fewest overdue tasks and assign {new_customer_name} to them as a new lead in the crm?,"['crm', 'project_management']",multi_domain,False,True,uncovered,multi_domain
Find the email from October 17 about Update on project debrief and schedule a 1.5 hour meeting called 'Update on project debrief' at 11:30 with the sender for December 18.,"['email.search_emails.func(query=""Update on project debrief"", date_min=""2023-10-17"", date_max=""2023-10-17"")', 'calendar.create_event.func(event_name=""Update on project debrief"", participant_email=""sofia.santos@atlas.com"", event_start=""2023-12-18 11:30:00"", duration=""90"")']",Meeting scheduled successfully with Sofia Santos for 'Update on project debrief' on December 18 at 11:30 AM. Event ID: 00000300.,,improved,"['calendar.create_event.func(event_name=""Update on project debrief"", participant_email=""sofia.santos@atlas.com"", event_start=""2023-12-18 11:30:00"", duration=""90"")']",Find the email from {natural_language_email_date} about {subject} and schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} with the sender for {natural_language_event_date}.,Find the email from {natural_language_email_date} about {subject} and schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} with the sender for {natural_language_event_date}.,"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
I need to schedule a 30 minute meeting called 'Update on Annual Budget Planning Session' at 10:30 for December 8. It's with the sender of the email from November 13 about 'Update on Annual Budget Planning Session'. Can you do that?,"['email.search_emails.func(query=""Update on Annual Budget Planning Session"", date_min=""2023-11-13"", date_max=""2023-11-13"")', 'calendar.create_event.func(event_name=""Update on Annual Budget Planning Session"", participant_email=""anaya.patel@atlas.com"", event_start=""2023-12-08 10:30:00"", duration=""30"")']",The meeting 'Update on Annual Budget Planning Session' has been scheduled with Anaya Patel on December 8 at 10:30 AM. Event ID: 00000300.,,improved,"['calendar.create_event.func(event_name=""Update on Annual Budget Planning Session"", participant_email=""anaya.patel@atlas.com"", event_start=""2023-12-08 10:30:00"", duration=""30"")']",Find the email from {natural_language_email_date} about {subject} and schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} with the sender for {natural_language_event_date}.,I need to schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} for {natural_language_event_date}. It's with the sender of the email from {natural_language_email_date} about '{subject}'. Can you do that?,"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
Send an email to attendees of the first event on December 12. Title it with the event name and tell them 'Remember to attend this event.',"['calendar.search_events.func(time_min=""2023-12-12 00:00:00"", time_max=""2023-12-12 23:59:59"")', 'email.send_email.func(recipient=""aisha.chen@atlas.com"", subject=""casual catch-up"", body=""Remember to attend this event."")']",Email sent successfully to the attendees of the event 'casual catch-up'.,,improved,"['email.send_email.func(recipient=""aisha.chen@atlas.com"", subject=""casual catch-up"", body=""Remember to attend this event."")']",Send an email to attendees of the first event on {natural_language_event_date}. Title it with the event name and tell them 'Remember to attend this event.',Send an email to attendees of the first event on {natural_language_event_date}. Title it with the event name and tell them 'Remember to attend this event.',"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
Can you send an email to attendees of the first event on December 8? Title it with the event name and tell them 'Remember to attend this event.',"['calendar.search_events.func(time_min=""2023-12-08 00:00:00"", time_max=""2023-12-08 23:59:59"")', 'email.send_email.func(recipient=""dmitri.ivanov@atlas.com"", subject=""Product Launch Analysis"", body=""Remember to attend this event."")']",Email sent successfully to the attendee.,,improved,"['email.send_email.func(recipient=""dmitri.ivanov@atlas.com"", subject=""Product Launch Analysis"", body=""Remember to attend this event."")']",Send an email to attendees of the first event on {natural_language_event_date}. Title it with the event name and tell them 'Remember to attend this event.',Can you send an email to attendees of the first event on {natural_language_event_date}? Title it with the event name and tell them 'Remember to attend this event.',"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
"if fatima hasn't sent me any emails in the past 3 days, schedule a half hour meeting with them for Friday at 12 and call it 'Catch up with fatima'","['email.search_emails.func(query=""fatima"", date_min=""2023-11-27"", date_max=""2023-11-30"")']",No meeting scheduled as Fatima has sent emails in the past 3 days.,,improved,[],"If {sender_name} hasn't sent me any emails in the past {days} days, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","if {sender_name} hasn't sent me any emails in the past {days} days, schedule a half hour meeting with them for {day_of_week} at {natural_language_time} and call it 'Catch up with {sender_name}'","['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
I haven't met with fatima in a while. if it's been longer than 10 days can you send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?',"['customer_relationship_manager.search_customers.func(customer_name=""Fatima"", last_contact_date_max=""2023-11-30"")', 'customer_relationship_manager.search_customers.func(customer_name=""Fatima"")', 'company_directory.find_email_address.func(name=""Fatima"")', 'customer_relationship_manager.search_customers.func(assigned_to_email=""fatima.khan@atlas.com"")', 'email.send_email.func(recipient=""fatima.khan@atlas.com"", subject=""Catch up soon?"", body=""We haven\'t caught up in a while - can you send some availability over next week?"")']",Email sent successfully to Fatima.,,improved,"['email.send_email.func(recipient=""fatima.khan@atlas.com"", subject=""Catch up soon?"", body=""We haven\'t caught up in a while - can you send some availability over next week?"")']","If I haven't met with {name} in the past {days} days, send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?'",I haven't met with {name} in a while. if it's been longer than {days} days can you send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?',"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
"If I haven't met with sofia in the past 2 days, send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?'","['calendar.search_events.func(query=""Sofia"", time_min=""2023-11-28 00:00:00"", time_max=""2023-11-30 23:59:59"")']",No email sent to Sofia as there is a meeting scheduled today.,,improved,"['email.send_email.func(recipient=""sofia.santos@atlas.com"", subject=""Catch up soon?"", body=""We haven\'t caught up in a while - can you send some availability over next week?"")']","If I haven't met with {name} in the past {days} days, send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?'","If I haven't met with {name} in the past {days} days, send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?'","['email', 'calendar']",multi_domain,False,False,uncovered,multi_domain
