query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
Plot total visits since October 28 as a scatter chart,"['analytics.total_visits_count.func(time_min=""2023-10-28"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-10-28"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""scatter"")']",The scatter plot for total visits from October 28 to November 30 has been created and saved as '2023-10-28_2023-11-30_total_visits_scatter.png'.,,improved,"['analytics.create_plot.func(time_min=""2023-10-28"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""scatter"")']",Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,Plot {natural_language_metric} since {natural_language_date} as a {plot_type} chart,['analytics'],analytics,False,True,uncovered,analytics
please plot the distribution of the total visits metric on October 20,"['analytics.total_visits_count.func(time_min=""2023-10-20"", time_max=""2023-10-20"")', 'analytics.create_plot.func(time_min=""2023-10-20"", time_max=""2023-10-20"", value_to_plot=""total_visits"", plot_type=""bar"")']",plots/2023-10-20_2023-10-20_total_visits_bar.png,,improved,"['analytics.create_plot.func(time_min=""2023-10-20"", time_max=""2023-10-20"", value_to_plot=""total_visits"", plot_type=""histogram"")']",Plot the distribution of {natural_language_metric} on {natural_language_date},please plot the distribution of the {natural_language_metric} metric on {natural_language_date},['analytics'],analytics,False,True,uncovered,analytics
please plot the distribution of the engaged users metric on November 15,"['analytics.engaged_users_count.func(time_min=""2023-11-15"", time_max=""2023-11-15"")', 'analytics.create_plot.func(time_min=""2023-11-15"", time_max=""2023-11-15"", value_to_plot=""user_engaged"", plot_type=""bar"")']",plots/2023-11-15_2023-11-15_user_engaged_bar.png,,improved,"['analytics.create_plot.func(time_min=""2023-11-15"", time_max=""2023-11-15"", value_to_plot=""user_engaged"", plot_type=""histogram"")']",Plot the distribution of {natural_language_metric} on {natural_language_date},please plot the distribution of the {natural_language_metric} metric on {natural_language_date},['analytics'],analytics,False,True,uncovered,analytics
Can you plot the distribution of both total visits and average session duration between October 12 and November 6??,"['analytics.total_visits_count.func(time_min=""2023-10-12"", time_max=""2023-11-06"")', 'analytics.get_average_session_duration.func(time_min=""2023-10-12"", time_max=""2023-11-06"")', 'analytics.create_plot.func(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""total_visits"", plot_type=""line"")', 'analytics.create_plot.func(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""session_duration_seconds"", plot_type=""line"")']","{'total_visits_plot': 'plots/2023-10-12_2023-11-06_total_visits_line.png', 'average_session_duration_plot': 'plots/2023-10-12_2023-11-06_session_duration_seconds_line.png'}",,improved,"['analytics.create_plot.func(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""total_visits"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")']",Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,['analytics'],analytics,False,True,uncovered,analytics
I need a histogram of average session duration and engaged users between October 9 and October 26,"['analytics.get_average_session_duration.func(time_min=""2023-10-09"", time_max=""2023-10-26"")', 'analytics.engaged_users_count.func(time_min=""2023-10-09"", time_max=""2023-10-26"")', 'analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""average_session_duration"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""engaged_users"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""user_engaged"", plot_type=""histogram"")']","{'average_session_duration_histogram': 'plots/2023-10-09_2023-10-26_session_duration_seconds_histogram.png', 'engaged_users_histogram': 'plots/2023-10-09_2023-10-26_user_engaged_histogram.png'}",,improved,"['analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""user_engaged"", plot_type=""histogram"")']",Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,I need a histogram of {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max},['analytics'],analytics,True,False,uncovered,analytics
"was total visits more than 3 at any time since October 6? If so, please plot it as a line chart","['analytics.total_visits_count.func(time_min=""2023-10-06"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-10-06"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")']",The line chart for total visits from October 6 to November 30 has been created successfully. You can find it at: plots/2023-10-06_2023-11-30_total_visits_line.png,,improved,"['analytics.create_plot.func(time_min=""2023-10-06"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")']","If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then","was {natural_language_metric} {more_or_less} than {threshold} at any time since {natural_language_date}? If so, please plot it as a line chart",['analytics'],analytics,False,True,uncovered,analytics
can you make bar charts of average session duration and total visits since 2023-11-05?,"['analytics.get_average_session_duration.func(time_min=""2023-11-05"")', 'analytics.total_visits_count.func(time_min=""2023-11-05"")']","{'Dates': ['2023-11-05', '2023-11-06', '2023-11-07', '2023-11-08', '2023-11-09', '2023-11-10', '2023-11-11', '2023-11-12', '2023-11-13', '2023-11-14', '2023-11-15', '2023-11-16', '2023-11-17', '2023-11-18', '2023-11-19', '2023-11-20', '2023-11-21', '2023-11-22', '2023-11-23', '2023-11-24', '2023-11-25', '2023-11-26', '2023-11-27', '2023-11-28', '2023-11-29'], 'Average Session Duration (seconds)': [24.7, 18.4, 19.153846153846153, 21.545454545454547, 27.142857142857142, 21.545454545454547, 16.4, 28.416666666666668, 6.375, 18.46153846153846, 21.09090909090909, 41.857142857142854, 12.857142857142858, 9.833333333333334, 23.9, 28.923076923076923, 19.90909090909091, 20.5, 9.571428571428571, 21.88888888888889, 20.857142857142858, 25.0, 22.333333333333332, 20.31578947368421, 20.5], 'Total Visits': [10, 10, 13, 11, 14, 11, 10, 12, 8, 13, 11, 7, 7, 6, 10, 13, 11, 10, 7, 9, 14, 6, 6, 19, 10]}",,improved,"['analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")']",Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},can you make bar charts of {natural_language_metric} and {natural_language_metric_2} since {date_min}?,['analytics'],analytics,False,False,uncovered,analytics
Make bar charts showing engaged users and average session duration since 2023-11-23,"['analytics.engaged_users_count.func(time_min=""2023-11-23"", time_max=""2023-11-30"")', 'analytics.get_average_session_duration.func(time_min=""2023-11-23"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-30"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")']",Bar charts created: Engaged Users - 'user_engaged_bar.png' and Average Session Duration - 'session_duration_seconds_bar.png'.,,improved,"['analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")']",Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},['analytics'],analytics,False,True,uncovered,analytics
Can you make a line chart of total visits since the last 4 weeks if it was more than 10 at any time in the last 4 weeks?,"['analytics.total_visits_count.func(time_min=""2023-11-02"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")']",The line chart of total visits from 2023-11-02 to 2023-11-30 has been created and saved as 'total_visits_line.png'.,,improved,"['analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")']","If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since the last {past_n_weeks} weeks if it was {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks?,['analytics'],analytics,False,True,uncovered,analytics
Can you make a line chart of engaged users since the last 4 weeks if it was less than 5 at any time in the last 4 weeks?,"['analytics.engaged_users_count.func(time_min=""2023-11-02"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""line"")']",plots/2023-11-02_2023-11-30_user_engaged_line.png,,improved,"['analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""line"")']","If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since the last {past_n_weeks} weeks if it was {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks?,['analytics'],analytics,False,True,uncovered,analytics
