query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
Quinn Brown has moved to lost status. Can you update that in the crm?,"['customer_relationship_manager.search_customers.func(customer_name=""Quinn Brown"", status="""")', 'customer_relationship_manager.update_customer.func(customer_id=""00000188"", field=""status"", new_value=""Lost"")']",Quinn Brown's status has been updated to Lost successfully.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000188"", field=""status"", new_value=""Lost"")']",Update the status of {current_customer_name} to {new_status_natural_language} in the crm,{current_customer_name} has moved to {new_status_natural_language} status. Can you update that in the crm?,['customer_relationship_manager'],customer_relationship_manager,True,False,uncovered,customer_relationship_manager
Delete Rahul Martinez from the crm,"['customer_relationship_manager.search_customers.func(customer_name=""Rahul Martinez"", customer_email="""", product_interest="""", status="""", assigned_to_email="""", last_contact_date_min="""", last_contact_date_max="""", follow_up_by_min="""", follow_up_by_max="""")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000003"")']",Customer Rahul Martinez has been deleted successfully.,,improved,"['customer_relationship_manager.delete_customer.func(customer_id=""00000003"")']",Delete {current_customer_name} from the crm,Delete {current_customer_name} from the crm,['customer_relationship_manager'],customer_relationship_manager,True,False,uncovered,customer_relationship_manager
Delete Jamie Taylor from the crm,"['customer_relationship_manager.search_customers.func(customer_name=""Jamie Taylor"", customer_email="""", product_interest="""", status="""", assigned_to_email="""", last_contact_date_min="""", last_contact_date_max="""", follow_up_by_min="""", follow_up_by_max="""")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000019"")']",Jamie Taylor has been successfully deleted from the CRM.,,improved,"['customer_relationship_manager.delete_customer.func(customer_id=""00000019"")']",Delete {current_customer_name} from the crm,Delete {current_customer_name} from the crm,['customer_relationship_manager'],customer_relationship_manager,True,False,uncovered,customer_relationship_manager
Add Quinn Robinson as a new lead in the crm and assign them to Raj,"['company_directory.find_email_address.func(name=""Raj"")', 'customer_relationship_manager.add_customer.func(customer_name=""Quinn Robinson"", assigned_to_email=""raj.patel@atlas.com"", status=""Lead"", customer_email="""", customer_phone="""", last_contact_date="""", product_interest="""", follow_up_by="""")']",Quinn Robinson has been successfully added as a new lead with customer ID 00000200 and assigned to Raj.,,improved,"['customer_relationship_manager.add_customer.func(customer_name=""Quinn Robinson"", assigned_to_email=""raj.patel@atlas.com"", status=""Lead"")']",Add {new_customer_name} as a new lead in the crm and assign them to {assigned_to_first_name},Add {new_customer_name} as a new lead in the crm and assign them to {assigned_to_first_name},['customer_relationship_manager'],customer_relationship_manager,False,True,uncovered,customer_relationship_manager
We've got a new lead called Dakota Wilson. Can you add them to the crm and assign them to Sofia?,"['company_directory.find_email_address.func(name=""Sofia"")', 'customer_relationship_manager.add_customer.func(customer_name=""Dakota Wilson"", assigned_to_email=""sofia.santos@atlas.com"", status=""Lead"", customer_email="""", customer_phone="""", last_contact_date="""", product_interest="""", follow_up_by="""")']",Dakota Wilson has been added to the CRM with customer ID 00000200 and assigned to Sofia.,,improved,"['customer_relationship_manager.add_customer.func(customer_name=""Dakota Wilson"", assigned_to_email=""sofia.santos@atlas.com"", status=""Lead"")']",Add {new_customer_name} as a new lead in the crm and assign them to {assigned_to_first_name},We've got a new lead called {new_customer_name}. Can you add them to the crm and assign them to {assigned_to_first_name}?,['customer_relationship_manager'],customer_relationship_manager,False,True,uncovered,customer_relationship_manager
Reassign Reese Jones to Lena in the crm,"['customer_relationship_manager.search_customers.func(customer_name=""Reese Jones"", customer_email="""", product_interest="""", status="""", assigned_to_email="""", last_contact_date_min="""", last_contact_date_max="""", follow_up_by_min="""", follow_up_by_max="""")', 'company_directory.find_email_address.func(name=""Lena"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000051"", field=""assigned_to_email"", new_value=""lena.schmidt@atlas.com"")']",Reese Jones has been successfully reassigned to Lena.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000051"", field=""assigned_to_email"", new_value=""lena.schmidt@atlas.com"")']",Reassign {current_customer_name} to {assigned_to_first_name} in the crm,Reassign {current_customer_name} to {assigned_to_first_name} in the crm,['customer_relationship_manager'],customer_relationship_manager,True,False,uncovered,customer_relationship_manager
Reassign all of Akira's leads that are interested in hardware to Lena in the crm.,"['company_directory.find_email_address.func(name=""Akira"")', 'customer_relationship_manager.search_customers.func(product_interest=""Hardware"", assigned_to_email=""akira.sato@atlas.com"")', 'company_directory.find_email_address.func(name=""Lena"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000004"", field=""assigned_to_email"", new_value=""lena.schmidt@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000071"", field=""assigned_to_email"", new_value=""lena.schmidt@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000012"", field=""assigned_to_email"", new_value=""lena.schmidt@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000014"", field=""assigned_to_email"", new_value=""lena.schmidt@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000057"", field=""assigned_to_email"", new_value=""lena.schmidt@atlas.com"")']",All of Akira's leads interested in hardware have been successfully reassigned to Lena.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000004"", field=""assigned_to_email"", new_value=""lena.schmidt@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000012"", field=""assigned_to_email"", new_value=""lena.schmidt@atlas.com"")']",Reassign all of {assigned_to_first_name}'s leads that are interested in {natural_language_product_interest} to {new_assigned_to_first_name} in the crm.,Reassign all of {assigned_to_first_name}'s leads that are interested in {natural_language_product_interest} to {new_assigned_to_first_name} in the crm.,['customer_relationship_manager'],customer_relationship_manager,False,True,uncovered,customer_relationship_manager
We're moving all of Lena's leads that are interested in services to Sofia. Can you make that change in the crm?,"['customer_relationship_manager.search_customers.func(customer_name="""", product_interest=""Services"", status=""Lead"", assigned_to_email=""lena@example.com"")', 'customer_relationship_manager.search_customers.func(customer_name="""", status=""Lead"", assigned_to_email=""lena@example.com"")', 'customer_relationship_manager.search_customers.func(customer_name="""", assigned_to_email=""lena@example.com"")', 'customer_relationship_manager.search_customers.func(customer_name="""", status=""Lead"", assigned_to_email=""sofia@example.com"")', 'customer_relationship_manager.search_customers.func(customer_name="""", product_interest=""Services"", status=""Lead"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000154"", field=""assigned_to_email"", new_value=""sofia@example.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000149"", field=""assigned_to_email"", new_value=""sofia@example.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000117"", field=""assigned_to_email"", new_value=""sofia@example.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000167"", field=""assigned_to_email"", new_value=""sofia@example.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000034"", field=""assigned_to_email"", new_value=""sofia@example.com"")']",All leads interested in services have been successfully moved to Sofia.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000034"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000177"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000110"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")']",Reassign all of {assigned_to_first_name}'s leads that are interested in {natural_language_product_interest} to {new_assigned_to_first_name} in the crm.,We're moving all of {assigned_to_first_name}'s leads that are interested in {natural_language_product_interest} to {new_assigned_to_first_name}. Can you make that change in the crm?,['customer_relationship_manager'],customer_relationship_manager,False,True,uncovered,customer_relationship_manager
I need to move all of Sofia's customers that are interested in training and are either qualified or in proposal to Nadia. Can you make that change in the crm?,"['company_directory.find_email_address.func(name=""Sofia"")', 'customer_relationship_manager.search_customers.func(customer_email=""sofia.santos@atlas.com"", product_interest=""Training"", status=""Qualified"", assigned_to_email="""", last_contact_date_min="""", last_contact_date_max="""", follow_up_by_min="""", follow_up_by_max="""")', 'customer_relationship_manager.search_customers.func(customer_email=""sofia.santos@atlas.com"", product_interest=""Training"", status=""Proposal"", assigned_to_email="""", last_contact_date_min="""", last_contact_date_max="""", follow_up_by_min="""", follow_up_by_max="""")']",No customers found for Sofia interested in training with status Qualified or Proposal.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000120"", field=""assigned_to_email"", new_value=""nadia.moreau@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000042"", field=""assigned_to_email"", new_value=""nadia.moreau@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000184"", field=""assigned_to_email"", new_value=""nadia.moreau@atlas.com"")']",Give {new_assigned_to_first_name} all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal in the crm,I need to move all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal to {new_assigned_to_first_name}. Can you make that change in the crm?,['customer_relationship_manager'],customer_relationship_manager,False,False,uncovered,customer_relationship_manager
Sofia is taking over all of Raj's customers that are interested in consulting and are either qualified or in proposal. Can you reassign them in the crm?,"['customer_relationship_manager.search_customers.func(product_interest=""Consulting"", status=""Qualified"", assigned_to_email=""raj@example.com"", last_contact_date_min=""2023-11-30"", last_contact_date_max=""2023-11-30"")', 'customer_relationship_manager.search_customers.func(product_interest=""Consulting"", status=""Proposal"", assigned_to_email=""raj@example.com"", last_contact_date_min=""2023-11-30"", last_contact_date_max=""2023-11-30"")', 'customer_relationship_manager.search_customers.func(product_interest=""Consulting"", status=""Qualified"", last_contact_date_min=""2023-11-30"", last_contact_date_max=""2023-11-30"")', 'customer_relationship_manager.search_customers.func(product_interest=""Consulting"", status=""Proposal"", last_contact_date_min=""2023-11-30"", last_contact_date_max=""2023-11-30"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000107"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")']",Quinn Harris has been successfully reassigned to Sofia.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000097"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000053"", field=""assigned_to_email"", new_value=""sofia.santos@atlas.com"")']",Give {new_assigned_to_first_name} all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal in the crm,{new_assigned_to_first_name} is taking over all of {assigned_to_first_name}'s customers that are interested in {natural_language_product_interest} and are either qualified or in proposal. Can you reassign them in the crm?,['customer_relationship_manager'],customer_relationship_manager,False,False,uncovered,customer_relationship_manager
