query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
Cancel my first meeting on December 13,"['calendar.search_events.func(time_min=""2023-12-13 09:00:00"", time_max=""2023-12-13 18:00:00"")', 'calendar.delete_event.func(event_id=""00000256"")']",The meeting on December 13 has been successfully canceled.,,improved,"['calendar.delete_event.func(event_id=""00000256"")']",Cancel my first meeting on {natural_language_date},Cancel my first meeting on {natural_language_date},['calendar'],calendar,True,False,uncovered,calendar
Delete my first meeting on December 18,"['calendar.search_events.func(time_min=""2023-12-18 00:00:00"", time_max=""2023-12-18 23:59:59"")', 'calendar.delete_event.func(event_id=""00000047"")']",The first meeting on December 18 has been successfully deleted.,,improved,"['calendar.delete_event.func(event_id=""00000047"")']",Cancel my first meeting on {natural_language_date},Delete my first meeting on {natural_language_date},['calendar'],calendar,True,False,uncovered,calendar
Change the name of the last event on December 12 to Machine Learning Chat,"['calendar.search_events.func(time_min=""2023-12-12 00:00:00"", time_max=""2023-12-12 23:59:59"")', 'calendar.update_event.func(event_id=""00000208"", field=""event_name"", new_value=""Machine Learning Chat"")']",The last event on December 12 has been successfully renamed to 'Machine Learning Chat'.,,improved,"['calendar.update_event.func(event_id=""00000208"", field=""event_name"", new_value=""Machine Learning Chat"")']",Change the name of the last event on {natural_language_date} to {event_name},Change the name of the last event on {natural_language_date} to {event_name},['calendar'],calendar,True,False,uncovered,calendar
Change the name of the last event on December 15 to Product Launch Analysis,"['calendar.search_events.func(time_min=""2023-12-15 00:00:00"", time_max=""2023-12-15 23:59:59"")', 'calendar.update_event.func(event_id=""00000181"", field=""event_name"", new_value=""Product Launch Analysis"")']",The event name has been successfully changed to 'Product Launch Analysis'.,,improved,"['calendar.update_event.func(event_id=""00000181"", field=""event_name"", new_value=""Product Launch Analysis"")']",Change the name of the last event on {natural_language_date} to {event_name},Change the name of the last event on {natural_language_date} to {event_name},['calendar'],calendar,True,False,uncovered,calendar
please move my first meeting with dmitri on December 18 by 2 hours,"['calendar.search_events.func(query=""Dmitri"", time_min=""2023-12-18 09:00:00"", time_max=""2023-12-18 18:00:00"")', 'calendar.update_event.func(event_id=""00000047"", field=""event_start"", new_value=""2023-12-18 15:30:00"")']",The meeting with Dmitri has been successfully moved to 15:30 on December 18.,,improved,"['calendar.update_event.func(event_id=""00000047"", field=""event_start"", new_value=""2023-12-18 15:30:00"")']",Push back my first meeting with {name} on {natural_language_date} by {duration}s,please move my first meeting with {name} on {natural_language_date} by {duration}s,['calendar'],calendar,True,False,uncovered,calendar
Can you cancel the next annual summary meeting,"['calendar.search_events.func(query=""annual summary meeting"", time_min=""2023-11-30 00:00:00"")', 'calendar.search_events.func(query=""meeting"", time_min=""2023-11-30 00:00:00"")']",No annual summary meeting found to cancel.,,improved,"['calendar.delete_event.func(event_id=""00000096"")']",Cancel the next {event_name} meeting,Can you cancel the next {event_name} meeting,['calendar'],calendar,False,False,uncovered,calendar
Delete the next Annual Budget Planning Session meeting,"['calendar.search_events.func(query=""Annual Budget Planning Session"", time_min=""2023-11-30 09:00:00"", time_max=""2023-12-31 18:00:00"")', 'calendar.delete_event.func(event_id=""00000200"")']",The Annual Budget Planning Session meeting scheduled for today has been successfully deleted.,,improved,"['calendar.delete_event.func(event_id=""00000200"")']",Cancel the next {event_name} meeting,Delete the next {event_name} meeting,['calendar'],calendar,True,False,uncovered,calendar
Rename the next Project Initiation Meeting meeting to Product Launch Analysis,"['calendar.search_events.func(query=""Project Initiation Meeting"", time_min=""2023-11-30 09:00:00"", time_max=""2023-11-30 18:00:00"")', 'calendar.search_events.func(time_min=""2023-11-30 09:00:00"", time_max=""2023-11-30 18:00:00"")', 'calendar.update_event.func(event_id=""00000200"", field=""event_name"", new_value=""Product Launch Analysis"")']",The event has been successfully renamed to 'Product Launch Analysis'.,,improved,"['calendar.update_event.func(event_id=""00000060"", field=""event_name"", new_value=""Product Launch Analysis"")']",Rename the next {event_name} meeting to {new_event_name},Rename the next {event_name} meeting to {new_event_name},['calendar'],calendar,False,True,uncovered,calendar
Change the name of the next Year-End Performance Assessment meeting to Machine Learning Chat,"['calendar.search_events.func(query=""Year-End Performance Assessment"", time_min=""2023-11-30 09:00:00"", time_max=""2024-12-31 18:00:00"")', 'calendar.update_event.func(event_id=""00000091"", field=""event_name"", new_value=""Machine Learning Chat"")']",The event name has been successfully changed to 'Machine Learning Chat'.,,improved,"['calendar.update_event.func(event_id=""00000091"", field=""event_name"", new_value=""Machine Learning Chat"")']",Rename the next {event_name} meeting to {new_event_name},Change the name of the next {event_name} meeting to {new_event_name},['calendar'],calendar,True,False,uncovered,calendar
I need to cancel my next meeting with raj. Can you do that for me please?,"['calendar.search_events.func(query=""raj"", time_min=""2023-11-30 09:00:00"")', 'calendar.delete_event.func(event_id=""00000093"")']",The meeting with Raj has been successfully canceled.,,improved,"['calendar.delete_event.func(event_id=""00000093"")']",Cancel my next meeting with {name},I need to cancel my next meeting with {name}. Can you do that for me please?,['calendar'],calendar,True,False,uncovered,calendar
