query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
Delete my first meeting on December 13,"['calendar.search_events.func(time_min=""2023-12-13 00:00:00"", time_max=""2023-12-13 23:59:59"")', 'calendar.delete_event.func(event_id=""00000256"")']",The first meeting on December 13 has been deleted successfully.,,improved,"['calendar.delete_event.func(event_id=""00000256"")']",Cancel my first meeting on {natural_language_date},Delete my first meeting on {natural_language_date},['calendar'],calendar,True,False,uncovered,calendar
Delete my first meeting on December 6,"['calendar.search_events.func(time_min=""2023-12-06 00:00:00"", time_max=""2023-12-06 23:59:59"")', 'calendar.delete_event.func(event_id=""00000045"")']",The introductory call on December 6 has been deleted successfully.,,improved,"['calendar.delete_event.func(event_id=""00000045"")']",Cancel my first meeting on {natural_language_date},Delete my first meeting on {natural_language_date},['calendar'],calendar,True,False,uncovered,calendar
Change the name of the last event on December 4 to weekly summary,"['calendar.search_events.func(time_min=""2023-12-04 00:00:00"", time_max=""2023-12-04 23:59:59"")', 'calendar.update_event.func(event_id=""00000062"", field=""event_name"", new_value=""weekly summary"")']",The event name has been successfully updated to 'weekly summary'.,,improved,"['calendar.update_event.func(event_id=""00000062"", field=""event_name"", new_value=""weekly summary"")']",Change the name of the last event on {natural_language_date} to {event_name},Change the name of the last event on {natural_language_date} to {event_name},['calendar'],calendar,True,False,uncovered,calendar
Rename the last event on December 14 to Customer Insight Forum,"['calendar.search_events.func(time_min=""2023-12-14 00:00:00"", time_max=""2023-12-14 23:59:59"")', 'calendar.update_event.func(event_id=""00000082"", field=""event_name"", new_value=""Customer Insight Forum"")']",The event has been successfully renamed to 'Customer Insight Forum'.,,improved,"['calendar.update_event.func(event_id=""00000082"", field=""event_name"", new_value=""Customer Insight Forum"")']",Change the name of the last event on {natural_language_date} to {event_name},Rename the last event on {natural_language_date} to {event_name},['calendar'],calendar,True,False,uncovered,calendar
please move my first meeting with nadia on December 11 by 1.5 hours,"['calendar.search_events.func(query=""nadia"", time_min=""2023-12-11 00:00:00"", time_max=""2023-12-11 23:59:59"")', 'calendar.update_event.func(event_id=""00000161"", field=""event_start"", new_value=""2023-12-11 15:00:00"")']",The meeting with Nadia has been successfully rescheduled to December 11 at 15:00.,,improved,"['calendar.update_event.func(event_id=""00000161"", field=""event_start"", new_value=""2023-12-11 15:00:00"")']",Push back my first meeting with {name} on {natural_language_date} by {duration}s,please move my first meeting with {name} on {natural_language_date} by {duration}s,['calendar'],calendar,True,False,uncovered,calendar
Can you cancel the next Year-End Performance Assessment meeting,"['calendar.search_events.func(query=""Year-End Performance Assessment"", time_min=""2023-11-30 00:00:00"", time_max=""2024-12-31 23:59:59"")', 'calendar.delete_event.func(event_id=""00000091"")']",The Year-End Performance Assessment meeting has been successfully canceled.,,improved,"['calendar.delete_event.func(event_id=""00000091"")']",Cancel the next {event_name} meeting,Can you cancel the next {event_name} meeting,['calendar'],calendar,True,False,uncovered,calendar
Delete the next Board of Directors Conclave meeting,"['calendar.search_events.func(query=""Board of Directors Conclave"", time_min=""2023-11-30 00:00:00"")', 'calendar.delete_event.func(event_id=""00000170"")']","The Board of Directors Conclave meeting scheduled for December 21, 2023, has been deleted successfully.",,improved,"['calendar.delete_event.func(event_id=""00000170"")']",Cancel the next {event_name} meeting,Delete the next {event_name} meeting,['calendar'],calendar,True,False,uncovered,calendar
can you rename the next sync up meeting to daily stand-up,"['calendar.search_events.func(query=""sync up"", time_min=""2023-11-30 00:00:00"")', 'calendar.update_event.func(event_id=""00000016"", field=""event_name"", new_value=""daily stand-up"")']",The next sync-up meeting has been successfully renamed to 'daily stand-up'.,,improved,"['calendar.update_event.func(event_id=""00000016"", field=""event_name"", new_value=""daily stand-up"")']",Rename the next {event_name} meeting to {new_event_name},can you rename the next {event_name} meeting to {new_event_name},['calendar'],calendar,True,False,uncovered,calendar
can you rename the next project checkpoint meeting to team orientation,"['calendar.search_events.func(query=""project checkpoint"", time_min=""2023-11-30 09:00:00"", time_max=""2023-11-30 18:00:00"")', 'calendar.search_events.func(time_min=""2023-11-30 09:00:00"", time_max=""2023-11-30 18:00:00"")', 'calendar.update_event.func(event_id=""00000253"", field=""event_name"", new_value=""team orientation"")']",The next project checkpoint meeting has been successfully renamed to 'team orientation'.,,improved,"['calendar.update_event.func(event_id=""00000237"", field=""event_name"", new_value=""team orientation"")']",Rename the next {event_name} meeting to {new_event_name},can you rename the next {event_name} meeting to {new_event_name},['calendar'],calendar,False,True,uncovered,calendar
I need to cancel my next meeting with fatima. Can you do that for me please?,"['calendar.search_events.func(query=""Fatima"", time_min=""2023-11-30 00:00:00"")', 'calendar.delete_event.func(event_id=""00000200"")']",The meeting with Fatima has been successfully canceled.,,improved,"['calendar.delete_event.func(event_id=""00000200"")']",Cancel my next meeting with {name},I need to cancel my next meeting with {name}. Can you do that for me please?,['calendar'],calendar,True,False,uncovered,calendar
