query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
Move all of kofi's tasks that are in progress to in review,"['company_directory.find_email_address.func(name=""Kofi"")', 'project_management.search_tasks.func(assigned_to_email=""kofi.mensah@atlas.com"", list_name=""In Progress"")']",There are no tasks assigned to Kofi that are in progress.,,improved,[],Move all of {name}'s tasks that are in progress to in review,Move all of {name}'s tasks that are in progress to in review,['project_management'],project_management,True,False,covered,project_management
Move all of luis's tasks that are in progress to in review,"['company_directory.find_email_address.func(name=""Luis"")', 'project_management.search_tasks.func(assigned_to_email=""luis.ortiz@atlas.com"", list_name=""In Progress"")', 'project_management.update_task.func(task_id=""00000235"", field=""list_name"", new_value=""In Review"")']",All of Luis's tasks that were in progress have been moved to in review.,,improved,"['project_management.update_task.func(task_id=""00000235"", field=""list_name"", new_value=""In Review"")']",Move all of {name}'s tasks that are in progress to in review,Move all of {name}'s tasks that are in progress to in review,['project_management'],project_management,True,False,covered,project_management
Move all of leila's tasks that are in progress to in review,"['company_directory.find_email_address.func(name=""Leila"")', 'project_management.search_tasks.func(assigned_to_email=""leila.azizi@atlas.com"", list_name=""In Progress"")']",There are no tasks assigned to Leila that are currently in progress.,,improved,[],Move all of {name}'s tasks that are in progress to in review,Move all of {name}'s tasks that are in progress to in review,['project_management'],project_management,True,False,covered,project_management
I need to add a new task to the Front end backlog called Create wireframe for dashboard and assign it to jinsoo. It's due on December 4. Can you do that?,"['company_directory.find_email_address.func(name=""jinsoo"")', 'project_management.create_task.func(task_name=""Create wireframe for dashboard"", assigned_to_email=""jinsoo.kim@atlas.com"", list_name=""Backlog"", due_date=""2023-12-04"", board=""Front end"")']",Task 'Create wireframe for dashboard' has been created and assigned to Jinsoo. Task ID: 00000300,,improved,"['project_management.create_task.func(task_name=""Create wireframe for dashboard"", board=""Front end"", assigned_to_email=""jinsoo.kim@atlas.com"", due_date=""2023-12-04"", list_name=""Backlog"")']",Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.,I need to add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}. Can you do that?,['project_management'],project_management,True,False,uncovered,project_management
can you add a new task called Fix bug in payment processing module to the Back end backlog and assign it to kofi? It's due on December 5.,"['company_directory.find_email_address.func(name=""Kofi"")', 'project_management.create_task.func(task_name=""Fix bug in payment processing module"", assigned_to_email=""kofi.mensah@atlas.com"", list_name=""Backlog"", due_date=""2023-12-05"", board=""Back end"")']",Task created successfully with ID: 00000300,,improved,"['project_management.create_task.func(task_name=""Fix bug in payment processing module"", board=""Back end"", assigned_to_email=""kofi.mensah@atlas.com"", due_date=""2023-12-05"", list_name=""Backlog"")']",Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.,can you add a new task called {task_name} to the {board} backlog and assign it to {name}? It's due on {natural_language_due_date}.,['project_management'],project_management,True,False,uncovered,project_management
can you move all of aisha's overdue tasks in the backlog to in progress?,"['company_directory.find_email_address.func(name=""Aisha"")', 'project_management.search_tasks.func(assigned_to_email=""aisha.chen@atlas.com"", list_name=""Backlog"", due_date=""2023-11-29"")']",There are no overdue tasks for Aisha in the backlog to move to 'In Progress'.,,improved,[],Move all of {name}'s overdue tasks in the backlog to in progress,can you move all of {name}'s overdue tasks in the backlog to in progress?,['project_management'],project_management,True,False,covered,project_management
leila has a bunch of overdue tasks in the backlog. Can you move them to in progress?,"['company_directory.find_email_address.func(name=""Leila"")', 'project_management.search_tasks.func(assigned_to_email=""leila.azizi@atlas.com"", list_name=""Backlog"", due_date=""2026-07-22"")']",There are no overdue tasks for Leila in the backlog to move to 'In Progress'.,,improved,"['project_management.update_task.func(task_id=""00000149"", field=""list_name"", new_value=""In Progress"")', 'project_management.update_task.func(task_id=""00000151"", field=""list_name"", new_value=""In Progress"")', 'project_management.update_task.func(task_id=""00000190"", field=""list_name"", new_value=""In Progress"")']",Move all of {name}'s overdue tasks in the backlog to in progress,{name} has a bunch of overdue tasks in the backlog. Can you move them to in progress?,['project_management'],project_management,False,False,covered,project_management
Move all of nia's overdue tasks in the backlog to in progress,"['company_directory.find_email_address.func(name=""nia"")', 'project_management.search_tasks.func(assigned_to_email=""nia.johnson@atlas.com"", list_name=""Backlog"", due_date=""2023-11-29"")']",There are no overdue tasks for Nia in the backlog.,,improved,[],Move all of {name}'s overdue tasks in the backlog to in progress,Move all of {name}'s overdue tasks in the backlog to in progress,['project_management'],project_management,True,False,covered,project_management
can you move any of anaya's tasks that are in review to completed?,"['company_directory.find_email_address.func(name=""Anaya"")', 'project_management.search_tasks.func(assigned_to_email=""anaya.patel@atlas.com"", list_name=""In Review"")', 'project_management.update_task.func(task_id=""00000115"", field=""list_name"", new_value=""Completed"")', 'project_management.update_task.func(task_id=""00000198"", field=""list_name"", new_value=""Completed"")', 'project_management.search_tasks.func(assigned_to_email=""anaya.patel@atlas.com"", list_name=""Completed"")']",Anaya's tasks that were in review have been moved to completed.,,improved,"['project_management.update_task.func(task_id=""00000115"", field=""list_name"", new_value=""Completed"")', 'project_management.update_task.func(task_id=""00000198"", field=""list_name"", new_value=""Completed"")']",Move any of {name}'s tasks that are in review to completed,can you move any of {name}'s tasks that are in review to completed?,['project_management'],project_management,True,False,covered,project_management
I've finished reviewing all of leila's tasks. Can you move all the ones that are in review to completed?,"['company_directory.find_email_address.func(name=""Leila"")', 'project_management.search_tasks.func(assigned_to_email=""leila.azizi@atlas.com"", list_name=""In Review"")', 'project_management.update_task.func(task_id=""00000113"", field=""list_name"", new_value=""Completed"")', 'project_management.update_task.func(task_id=""00000157"", field=""list_name"", new_value=""Completed"")', 'project_management.update_task.func(task_id=""00000118"", field=""list_name"", new_value=""Completed"")', 'project_management.update_task.func(task_id=""00000121"", field=""list_name"", new_value=""Completed"")']",All tasks assigned to Leila that were in the 'In Review' list have been moved to 'Completed'.,,improved,"['project_management.update_task.func(task_id=""00000113"", field=""list_name"", new_value=""Completed"")', 'project_management.update_task.func(task_id=""00000157"", field=""list_name"", new_value=""Completed"")', 'project_management.update_task.func(task_id=""00000118"", field=""list_name"", new_value=""Completed"")', 'project_management.update_task.func(task_id=""00000121"", field=""list_name"", new_value=""Completed"")']",Move any of {name}'s tasks that are in review to completed,I've finished reviewing all of {name}'s tasks. Can you move all the ones that are in review to completed?,['project_management'],project_management,True,False,covered,project_management
