query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
Cancel my first meeting on December 18,"['calendar.search_events.func(time_min=""2023-12-18 00:00:00"", time_max=""2023-12-18 23:59:59"")', 'calendar.delete_event.func(event_id=""00000047"")']",The first meeting on December 18 has been successfully canceled.,,improved,"['calendar.delete_event.func(event_id=""00000047"")']",Cancel my first meeting on {natural_language_date},Cancel my first meeting on {natural_language_date},['calendar'],calendar,True,False,uncovered,calendar
Can you change the name of the last event on November 30 to brainstorming session,"['calendar.search_events.func(time_min=""2023-11-30 00:00:00"", time_max=""2023-11-30 23:59:59"")', 'calendar.update_event.func(event_id=""00000253"", field=""event_name"", new_value=""brainstorming session"")']",The last event on November 30 has been successfully renamed to 'brainstorming session'.,,improved,"['calendar.update_event.func(event_id=""00000253"", field=""event_name"", new_value=""brainstorming session"")']",Change the name of the last event on {natural_language_date} to {event_name},Can you change the name of the last event on {natural_language_date} to {event_name},['calendar'],calendar,True,False,uncovered,calendar
Can you change the name of the last event on December 14 to quarterly tech roundup,"['calendar.search_events.func(time_min=""2023-12-14 00:00:00"", time_max=""2023-12-14 23:59:59"")', 'calendar.update_event.func(event_id=""00000082"", field=""event_name"", new_value=""Quarterly Tech Roundup"")']",The event has been successfully updated to 'Quarterly Tech Roundup'.,,improved,"['calendar.update_event.func(event_id=""00000082"", field=""event_name"", new_value=""quarterly tech roundup"")']",Change the name of the last event on {natural_language_date} to {event_name},Can you change the name of the last event on {natural_language_date} to {event_name},['calendar'],calendar,True,False,uncovered,calendar
Delay my first meeting with nia on December 19 by 1.5 hours,"['calendar.search_events.func(query=""Nia"", time_min=""2023-12-19 00:00:00"", time_max=""2023-12-19 23:59:59"")', 'calendar.update_event.func(event_id=""00000020"", field=""event_start"", new_value=""2023-12-19 15:30:00"")']",The meeting with Nia has been successfully delayed to 15:30 on December 19.,,improved,"['calendar.update_event.func(event_id=""00000020"", field=""event_start"", new_value=""2023-12-19 15:30:00"")']",Push back my first meeting with {name} on {natural_language_date} by {duration}s,Delay my first meeting with {name} on {natural_language_date} by {duration}s,['calendar'],calendar,True,False,uncovered,calendar
Push back my first meeting with dmitri on December 18 by 1 hours,"['calendar.search_events.func(query=""Dmitri"", time_min=""2023-12-18 00:00:00"", time_max=""2023-12-18 23:59:59"")', 'calendar.update_event.func(event_id=""00000047"", field=""event_start"", new_value=""2023-12-18 14:30:00"")']",The meeting with Dmitri has been successfully rescheduled to December 18 at 14:30.,,improved,"['calendar.update_event.func(event_id=""00000047"", field=""event_start"", new_value=""2023-12-18 14:30:00"")']",Push back my first meeting with {name} on {natural_language_date} by {duration}s,Push back my first meeting with {name} on {natural_language_date} by {duration}s,['calendar'],calendar,True,False,uncovered,calendar
Delete the next Health & Wellness Expo meeting,"['calendar.search_events.func(query=""Health & Wellness Expo"", time_min=""2023-11-30 00:00:00"")', 'calendar.delete_event.func(event_id=""00000082"")']",The Health & Wellness Expo meeting scheduled for 2023-12-14 has been successfully deleted.,,improved,"['calendar.delete_event.func(event_id=""00000082"")']",Cancel the next {event_name} meeting,Delete the next {event_name} meeting,['calendar'],calendar,True,False,uncovered,calendar
Rename the next team evaluation meeting to Customer Insight Forum,"['calendar.search_events.func(query=""team evaluation"", time_min=""2023-11-30 00:00:00"")', 'calendar.update_event.func(event_id=""00000047"", field=""event_name"", new_value=""Customer Insight Forum"")']",The team evaluation meeting has been renamed to 'Customer Insight Forum'.,,improved,"['calendar.update_event.func(event_id=""00000047"", field=""event_name"", new_value=""Customer Insight Forum"")']",Rename the next {event_name} meeting to {new_event_name},Rename the next {event_name} meeting to {new_event_name},['calendar'],calendar,True,False,uncovered,calendar
Rename the next Corporate Social Responsibility Initiative meeting to Risk Management Forum,"['calendar.search_events.func(query=""Corporate Social Responsibility Initiative"", time_min=""2023-11-30 09:00:00"", time_max=""2023-11-30 18:00:00"")', 'calendar.search_events.func(query=""Corporate"", time_min=""2023-11-30 09:00:00"", time_max=""2023-11-30 18:00:00"")', 'calendar.search_events.func(time_min=""2023-11-30 09:00:00"", time_max=""2023-11-30 18:00:00"")', 'calendar.update_event.func(event_id=""00000225"", field=""event_name"", new_value=""Risk Management Forum"")']",The Corporate Social Responsibility Initiative meeting has been successfully renamed to 'Risk Management Forum'.,,improved,"['calendar.update_event.func(event_id=""00000165"", field=""event_name"", new_value=""Risk Management Forum"")']",Rename the next {event_name} meeting to {new_event_name},Rename the next {event_name} meeting to {new_event_name},['calendar'],calendar,False,False,uncovered,calendar
I need to cancel my next meeting with aisha. Can you do that for me please?,"['calendar.search_events.func(query=""Aisha"", time_min=""2023-11-30 00:00:00"")', 'calendar.delete_event.func(event_id=""00000225"")']",The meeting with Aisha has been successfully canceled.,,improved,"['calendar.delete_event.func(event_id=""00000225"")']",Cancel my next meeting with {name},I need to cancel my next meeting with {name}. Can you do that for me please?,['calendar'],calendar,True,False,uncovered,calendar
Cancel my next meeting with aisha,"['calendar.search_events.func(query=""Aisha"")']",There are no upcoming meetings with Aisha to cancel.,,improved,"['calendar.delete_event.func(event_id=""00000225"")']",Cancel my next meeting with {name},Cancel my next meeting with {name},['calendar'],calendar,False,False,uncovered,calendar
