query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
can you move all of kofi's tasks that are in progress to in review?,"['company_directory.find_email_address.func(name=""Kofi"")', 'project_management.search_tasks.func(assigned_to_email=""kofi.mensah@atlas.com"", list_name=""In Progress"")']",No tasks to move for Kofi.,,improved,[],Move all of {name}'s tasks that are in progress to in review,can you move all of {name}'s tasks that are in progress to in review?,['project_management'],project_management,True,False,covered,project_management
I need to add a new task to the Design backlog called Develop prototype for data export and assign it to fatima. It's due on December 6. Can you do that?,"['company_directory.find_email_address.func(name=""Fatima"")', 'project_management.create_task.func(task_name=""Develop prototype for data export"", assigned_to_email=""fatima.khan@atlas.com"", list_name=""Backlog"", due_date=""2023-12-06"", board=""Design"")', 'project_management.get_task_information_by_id.func(task_id=""00000300"", field=""task_name"")']",Task 'Develop prototype for data export' has been successfully created and assigned to Fatima.,,improved,"['project_management.create_task.func(task_name=""Develop prototype for data export"", board=""Design"", assigned_to_email=""fatima.khan@atlas.com"", due_date=""2023-12-06"", list_name=""Backlog"")']",Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.,I need to add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}. Can you do that?,['project_management'],project_management,True,False,uncovered,project_management
Add a new task to the Back end backlog called Fix alignment issue in homepage and assign it to anaya. It's due on December 5.,"['company_directory.find_email_address.func(name=""Anaya"")', 'project_management.create_task.func(task_name=""Fix alignment issue in homepage"", assigned_to_email=""anaya.patel@atlas.com"", list_name=""Backlog"", due_date=""2023-12-05"", board=""Back end"")']",Task created successfully with ID: 00000300,,improved,"['project_management.create_task.func(task_name=""Fix alignment issue in homepage"", board=""Back end"", assigned_to_email=""anaya.patel@atlas.com"", due_date=""2023-12-05"", list_name=""Backlog"")']",Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.,Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.,['project_management'],project_management,True,False,uncovered,project_management
Move all of jinsoo's overdue tasks in the backlog to in progress,"['company_directory.find_email_address.func(name=""Jinsoo"")', 'project_management.search_tasks.func(assigned_to_email=""jinsoo.kim@atlas.com"", list_name=""Backlog"", due_date=""2023-11-29"")', 'project_management.update_task.func(task_id=""00000257"", field=""list_name"", new_value=""In Progress"")']",All overdue tasks assigned to Jinsoo have been successfully moved to In Progress.,,improved,"['project_management.update_task.func(task_id=""00000250"", field=""list_name"", new_value=""In Progress"")', 'project_management.update_task.func(task_id=""00000257"", field=""list_name"", new_value=""In Progress"")']",Move all of {name}'s overdue tasks in the backlog to in progress,Move all of {name}'s overdue tasks in the backlog to in progress,['project_management'],project_management,False,True,covered,project_management
kofi has a bunch of overdue tasks in the backlog. Can you move them to in progress?,"['project_management.search_tasks.func(assigned_to_email=""Kofi"", list_name=""Backlog"", due_date=""2023-11-30"")', 'project_management.search_tasks.func(assigned_to_email=""Kofi"")', 'project_management.update_task.func(task_id=""00000220"", field=""list_name"", new_value=""In Progress"")', 'project_management.update_task.func(task_id=""00000244"", field=""list_name"", new_value=""In Progress"")', 'project_management.update_task.func(task_id=""00000234"", field=""list_name"", new_value=""In Progress"")']",All overdue tasks have been successfully moved to In Progress.,,improved,"['project_management.update_task.func(task_id=""00000220"", field=""list_name"", new_value=""In Progress"")', 'project_management.update_task.func(task_id=""00000244"", field=""list_name"", new_value=""In Progress"")', 'project_management.update_task.func(task_id=""00000234"", field=""list_name"", new_value=""In Progress"")']",Move all of {name}'s overdue tasks in the backlog to in progress,{name} has a bunch of overdue tasks in the backlog. Can you move them to in progress?,['project_management'],project_management,True,False,covered,project_management
I've finished reviewing all of fatima's tasks. Can you move all the ones that are in review to completed?,"['company_directory.find_email_address.func(name=""Fatima"")', 'project_management.search_tasks.func(assigned_to_email=""fatima.khan@atlas.com"", list_name=""In Review"")', 'project_management.update_task.func(task_id=""00000035"", field=""list_name"", new_value=""Completed"")']",The task 'Fix bug in content delivery module' has been successfully moved to Completed.,,improved,"['project_management.update_task.func(task_id=""00000035"", field=""list_name"", new_value=""Completed"")']",Move any of {name}'s tasks that are in review to completed,I've finished reviewing all of {name}'s tasks. Can you move all the ones that are in review to completed?,['project_management'],project_management,True,False,covered,project_management
can you reassign all of olga's in progress tasks to nia?,"['company_directory.find_email_address.func(name=""Olga"")', 'project_management.search_tasks.func(assigned_to_email=""olga.petrova@atlas.com"", list_name=""In Progress"")', 'company_directory.find_email_address.func(name=""Nia"")', 'project_management.update_task.func(task_id=""00000278"", field=""assigned_to_email"", new_value=""nia.johnson@atlas.com"")']",Olga's in-progress task has been successfully reassigned to Nia.,,improved,"['project_management.update_task.func(task_id=""00000278"", field=""assigned_to_email"", new_value=""nia.johnson@atlas.com"")']",{name_1} is sick so reassign their in progress tasks to {name_2}.,can you reassign all of {name_1}'s in progress tasks to {name_2}?,['project_management'],project_management,True,False,covered,project_management
I need to reassign all of fatima's in progress tasks to dmitri. Can you do that?,"['company_directory.find_email_address.func(name=""Fatima"")', 'project_management.search_tasks.func(assigned_to_email=""fatima.khan@atlas.com"", list_name=""In Progress"")', 'company_directory.find_email_address.func(name=""Dmitri"")', 'project_management.update_task.func(task_id=""00000074"", field=""assigned_to_email"", new_value=""dmitri.ivanov@atlas.com"")', 'project_management.update_task.func(task_id=""00000075"", field=""assigned_to_email"", new_value=""dmitri.ivanov@atlas.com"")', 'project_management.update_task.func(task_id=""00000002"", field=""assigned_to_email"", new_value=""dmitri.ivanov@atlas.com"")', 'project_management.get_task_information_by_id.func(task_id=""00000074"", field=""assigned_to_email"")', 'project_management.get_task_information_by_id.func(task_id=""00000075"", field=""assigned_to_email"")', 'project_management.get_task_information_by_id.func(task_id=""00000002"", field=""assigned_to_email"")']",All of Fatima's in-progress tasks have been successfully reassigned to Dmitri.,,improved,"['project_management.update_task.func(task_id=""00000074"", field=""assigned_to_email"", new_value=""dmitri.ivanov@atlas.com"")', 'project_management.update_task.func(task_id=""00000075"", field=""assigned_to_email"", new_value=""dmitri.ivanov@atlas.com"")', 'project_management.update_task.func(task_id=""00000002"", field=""assigned_to_email"", new_value=""dmitri.ivanov@atlas.com"")']",{name_1} is sick so reassign their in progress tasks to {name_2}.,I need to reassign all of {name_1}'s in progress tasks to {name_2}. Can you do that?,['project_management'],project_management,True,False,covered,project_management
carlos is on vacation now so move all their unfinished tasks to the backlog.,"['company_directory.find_email_address.func(name=""Carlos"")', 'project_management.search_tasks.func(assigned_to_email=""carlos.rodriguez@atlas.com"", list_name=""Backlog"")', 'project_management.search_tasks.func(assigned_to_email=""carlos.rodriguez@atlas.com"", list_name=""In Progress"")', 'project_management.search_tasks.func(assigned_to_email=""carlos.rodriguez@atlas.com"", list_name=""In Review"")', 'project_management.update_task.func(task_id=""00000039"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000014"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000077"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000089"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000081"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000083"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000032"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000024"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000099"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000021"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000063"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000082"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000023"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000046"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000084"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000086"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000092"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000076"", field=""list_name"", new_value=""Backlog"")']",All unfinished tasks assigned to Carlos have been successfully moved to the Backlog.,,improved,"['project_management.update_task.func(task_id=""00000086"", field=""list_name"", new_value=""Backlog"")']",{name_1} is on vacation now so move all their unfinished tasks to the backlog.,{name_1} is on vacation now so move all their unfinished tasks to the backlog.,['project_management'],project_management,False,True,covered,project_management
I need to move all of yuki's unfinished tasks to the backlog. Can you do that?,"['company_directory.find_email_address.func(name=""Yuki"")', 'project_management.search_tasks.func(assigned_to_email=""yuki.tanaka@atlas.com"", list_name=""Backlog"")', 'project_management.search_tasks.func(assigned_to_email=""yuki.tanaka@atlas.com"", list_name=""In Progress"")', 'project_management.search_tasks.func(assigned_to_email=""yuki.tanaka@atlas.com"", list_name=""In Review"")', 'project_management.update_task.func(task_id=""00000027"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000036"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000065"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000072"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000038"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000098"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000068"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000090"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000058"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000018"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000091"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000007"", field=""list_name"", new_value=""Backlog"")', 'project_management.update_task.func(task_id=""00000012"", field=""list_name"", new_value=""Backlog"")']",All of Yuki's unfinished tasks have been successfully moved to the Backlog.,,improved,"['project_management.update_task.func(task_id=""00000091"", field=""list_name"", new_value=""Backlog"")']",{name_1} is on vacation now so move all their unfinished tasks to the backlog.,I need to move all of {name_1}'s unfinished tasks to the backlog. Can you do that?,['project_management'],project_management,False,True,covered,project_management
