query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
Plot total visits since October 28 as a scatter chart,"['analytics.total_visits_count.func(time_min=""2023-10-28"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-10-28"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""scatter"")']",plots/2023-10-28_2023-11-30_total_visits_scatter.png,,improved,"['analytics.create_plot.func(time_min=""2023-10-28"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""scatter"")']",Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,Plot {natural_language_metric} since {natural_language_date} as a {plot_type} chart,['analytics'],analytics,False,True,uncovered,analytics
please plot the distribution of the total visits metric on October 20,"['analytics.total_visits_count.func(time_min=""2023-10-20"", time_max=""2023-10-20"")', 'analytics.create_plot.func(time_min=""2023-10-20"", time_max=""2023-10-20"", value_to_plot=""total_visits"", plot_type=""bar"")']","The distribution of total visits for October 20, 2023, has been plotted and saved as 'plots/2023-10-20_2023-10-20_total_visits_bar.png'.",,improved,"['analytics.create_plot.func(time_min=""2023-10-20"", time_max=""2023-10-20"", value_to_plot=""total_visits"", plot_type=""histogram"")']",Plot the distribution of {natural_language_metric} on {natural_language_date},please plot the distribution of the {natural_language_metric} metric on {natural_language_date},['analytics'],analytics,False,True,uncovered,analytics
please plot the distribution of the engaged users metric on November 15,"['analytics.engaged_users_count.func(time_min=""2023-11-15"", time_max=""2023-11-15"")', 'analytics.create_plot.func(time_min=""2023-11-15"", time_max=""2023-11-15"", value_to_plot=""user_engaged"", plot_type=""bar"")']",plots/2023-11-15_2023-11-15_user_engaged_bar.png,,improved,"['analytics.create_plot.func(time_min=""2023-11-15"", time_max=""2023-11-15"", value_to_plot=""user_engaged"", plot_type=""histogram"")']",Plot the distribution of {natural_language_metric} on {natural_language_date},please plot the distribution of the {natural_language_metric} metric on {natural_language_date},['analytics'],analytics,False,True,uncovered,analytics
Can you plot the distribution of both total visits and average session duration between October 12 and November 6??,"['analytics.total_visits_count.func(time_min=""2023-10-12"", time_max=""2023-11-06"")', 'analytics.get_average_session_duration.func(time_min=""2023-10-12"", time_max=""2023-11-06"")', 'analytics.create_plot.func(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""total_visits"", plot_type=""line"")', 'analytics.create_plot.func(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""session_duration_seconds"", plot_type=""line"")']","Plots created successfully: Total visits - 'total_visits_line.png', Average session duration - 'session_duration_seconds_line.png'",,improved,"['analytics.create_plot.func(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""total_visits"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")']",Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,['analytics'],analytics,False,True,uncovered,analytics
I need a histogram of average session duration and engaged users between October 9 and October 26,"['analytics.get_average_session_duration.func(time_min=""2023-10-09"", time_max=""2023-10-26"")', 'analytics.engaged_users_count.func(time_min=""2023-10-09"", time_max=""2023-10-26"")', 'analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""user_engaged"", plot_type=""histogram"")']",The histogram for engaged users count has been saved at: plots/2023-10-09_2023-10-26_user_engaged_histogram.png,,improved,"['analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""user_engaged"", plot_type=""histogram"")']",Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,I need a histogram of {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max},['analytics'],analytics,True,False,uncovered,analytics
"was total visits more than 3 at any time since October 6? If so, please plot it as a line chart","['analytics.total_visits_count.func(time_min=""2023-10-06"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-10-06"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")']",The plot of total visits from October 6 to November 30 has been created successfully and saved as 'plots/2023-10-06_2023-11-30_total_visits_line.png'.,,improved,"['analytics.create_plot.func(time_min=""2023-10-06"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")']","If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then","was {natural_language_metric} {more_or_less} than {threshold} at any time since {natural_language_date}? If so, please plot it as a line chart",['analytics'],analytics,False,True,uncovered,analytics
can you make bar charts of average session duration and total visits since 2023-11-05?,"['analytics.get_average_session_duration.func(time_min=""2023-11-05"")', 'analytics.total_visits_count.func(time_min=""2023-11-05"")', 'analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""average_session_duration"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")']","{'average_session_duration_plot': 'plots/2023-11-05_2023-11-29_average_session_duration_bar.png', 'total_visits_plot': 'plots/2023-11-05_2023-11-29_total_visits_bar.png'}",,improved,"['analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")']",Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},can you make bar charts of {natural_language_metric} and {natural_language_metric_2} since {date_min}?,['analytics'],analytics,False,True,uncovered,analytics
Make bar charts showing engaged users and average session duration since 2023-11-23,"['analytics.engaged_users_count.func(time_min=""2023-11-23"", time_max=""2023-11-30"")', 'analytics.get_average_session_duration.func(time_min=""2023-11-23"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-30"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""bar"")']",Both bar charts have been created successfully: 'user_engaged_bar.png' for engaged users and 'session_duration_seconds_bar.png' for average session duration.,,improved,"['analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")']",Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},['analytics'],analytics,False,True,uncovered,analytics
Can you make a line chart of total visits since the last 4 weeks if it was more than 10 at any time in the last 4 weeks?,"['analytics.total_visits_count.func(time_min=""2023-11-02"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")']",Line chart created: plots/2023-11-02_2023-11-30_total_visits_line.png,,improved,"['analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")']","If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since the last {past_n_weeks} weeks if it was {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks?,['analytics'],analytics,False,True,uncovered,analytics
Can you make a line chart of engaged users since the last 4 weeks if it was less than 5 at any time in the last 4 weeks?,"['analytics.engaged_users_count.func(time_min=""2023-11-02"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""line"")']",plots/2023-11-02_2023-11-30_user_engaged_line.png,,improved,"['analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""line"")']","If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since the last {past_n_weeks} weeks if it was {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks?,['analytics'],analytics,False,True,uncovered,analytics
