query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
Plot total visits since October 28 as a scatter chart,"['analytics.total_visits_count.func(time_min=""2023-10-28"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-10-28"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""scatter"")']",The scatter plot for total visits from October 28 to November 30 has been created and saved as 'total_visits_scatter.png'.,,improved,"['analytics.create_plot.func(time_min=""2023-10-28"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""scatter"")']",Can you make a {plot_type} chart of {natural_language_metric} since {natural_language_date}?,Plot {natural_language_metric} since {natural_language_date} as a {plot_type} chart,['analytics'],analytics,False,True,uncovered,analytics
please plot the distribution of the total visits metric on October 20,"['analytics.total_visits_count.func(time_min=""2023-10-20"", time_max=""2023-10-20"")', 'analytics.create_plot.func(time_min=""2023-10-20"", time_max=""2023-10-20"", value_to_plot=""total_visits"", plot_type=""bar"")']",plots/2023-10-20_2023-10-20_total_visits_bar.png,,improved,"['analytics.create_plot.func(time_min=""2023-10-20"", time_max=""2023-10-20"", value_to_plot=""total_visits"", plot_type=""histogram"")']",Plot the distribution of {natural_language_metric} on {natural_language_date},please plot the distribution of the {natural_language_metric} metric on {natural_language_date},['analytics'],analytics,False,True,uncovered,analytics
please plot the distribution of the engaged users metric on November 15,"['analytics.engaged_users_count.func(time_min=""2023-11-15"", time_max=""2023-11-15"")', 'analytics.create_plot.func(time_min=""2023-11-15"", time_max=""2023-11-15"", value_to_plot=""user_engaged"", plot_type=""bar"")']",plots/2023-11-15_2023-11-15_user_engaged_bar.png,,improved,"['analytics.create_plot.func(time_min=""2023-11-15"", time_max=""2023-11-15"", value_to_plot=""user_engaged"", plot_type=""histogram"")']",Plot the distribution of {natural_language_metric} on {natural_language_date},please plot the distribution of the {natural_language_metric} metric on {natural_language_date},['analytics'],analytics,False,True,uncovered,analytics
Can you plot the distribution of both total visits and average session duration between October 12 and November 6??,"['analytics.total_visits_count.func(time_min=""2023-10-12"", time_max=""2023-11-06"")', 'analytics.get_average_session_duration.func(time_min=""2023-10-12"", time_max=""2023-11-06"")']","Date	Total Visits	Average Session Duration (seconds)
------------------------------------------------------------
2023-10-12	9	23.78
2023-10-13	8	18.50
2023-10-14	10	22.10
2023-10-15	14	20.00
2023-10-16	9	11.33
2023-10-17	15	15.33
2023-10-18	16	17.12
2023-10-19	9	15.22
2023-10-20	8	16.75
2023-10-21	15	20.20
2023-10-22	13	15.77
2023-10-23	8	19.12
2023-10-24	21	23.33
2023-10-25	7	5.43
2023-10-26	10	23.10
2023-10-27	11	17.00
2023-10-28	17	14.59
2023-10-29	14	24.79
2023-10-30	12	12.33
2023-10-31	9	21.67
2023-11-01	16	9.31
2023-11-02	13	13.62
2023-11-03	11	21.09
2023-11-04	9	17.56
2023-11-05	10	24.70
2023-11-06	10	18.40
",,improved,"['analytics.create_plot.func(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""total_visits"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")']",Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,['analytics'],analytics,False,False,uncovered,analytics
I need a histogram of average session duration and engaged users between October 9 and October 26,"['analytics.get_average_session_duration.func(time_min=""2023-10-09"", time_max=""2023-10-26"")', 'analytics.engaged_users_count.func(time_min=""2023-10-09"", time_max=""2023-10-26"")', 'analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""average_session_duration"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""engaged_users"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""user_engaged"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")']","{'engaged_users_histogram': 'plots/2023-10-09_2023-10-26_user_engaged_histogram.png', 'average_session_duration_histogram': 'plots/2023-10-09_2023-10-26_session_duration_seconds_histogram.png'}",,improved,"['analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""user_engaged"", plot_type=""histogram"")']",Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,I need a histogram of {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max},['analytics'],analytics,False,True,uncovered,analytics
"was total visits more than 3 at any time since October 6? If so, please plot it as a line chart","['analytics.total_visits_count.func(time_min=""2023-10-06"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-10-06"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")']",The line chart for total visits from October 6 to November 30 has been created and saved as 'plots/2023-10-06_2023-11-30_total_visits_line.png'.,,improved,"['analytics.create_plot.func(time_min=""2023-10-06"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")']","If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then","was {natural_language_metric} {more_or_less} than {threshold} at any time since {natural_language_date}? If so, please plot it as a line chart",['analytics'],analytics,False,True,uncovered,analytics
can you make bar charts of average session duration and total visits since 2023-11-05?,"['analytics.get_average_session_duration.func(time_min=""2023-11-05"")', 'analytics.total_visits_count.func(time_min=""2023-11-05"")', 'analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""average_session_duration"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""average_session_duration"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")']","{'total_visits_chart': 'plots/2023-11-05_2023-11-29_total_visits_bar.png', 'average_session_duration_chart': 'plots/2023-11-05_2023-11-29_session_duration_seconds_bar.png'}",,improved,"['analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")']",Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},can you make bar charts of {natural_language_metric} and {natural_language_metric_2} since {date_min}?,['analytics'],analytics,False,True,uncovered,analytics
Make bar charts showing engaged users and average session duration since 2023-11-23,"['analytics.engaged_users_count.func(time_min=""2023-11-23"")', 'analytics.get_average_session_duration.func(time_min=""2023-11-23"")', 'analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-29"", value_to_plot=""total_engaged_users"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")']","{'engaged_users_plot': 'plots/2023-11-23_2023-11-29_user_engaged_bar.png', 'average_session_duration_plot': 'plots/2023-11-23_2023-11-29_session_duration_seconds_bar.png'}",,improved,"['analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")']",Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},['analytics'],analytics,False,True,uncovered,analytics
Can you make a line chart of total visits since the last 4 weeks if it was more than 10 at any time in the last 4 weeks?,"['analytics.total_visits_count.func(time_min=""2023-11-02"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")']",plots/2023-11-02_2023-11-30_total_visits_line.png,,improved,"['analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")']","If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since the last {past_n_weeks} weeks if it was {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks?,['analytics'],analytics,False,True,uncovered,analytics
Can you make a line chart of engaged users since the last 4 weeks if it was less than 5 at any time in the last 4 weeks?,"['analytics.engaged_users_count.func(time_min=""2023-11-02"", time_max=""2023-11-30"")', 'analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""line"")']",plots/2023-11-02_2023-11-30_user_engaged_line.png,,improved,"['analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""line"")']","If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since the last {past_n_weeks} weeks if it was {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks?,['analytics'],analytics,False,True,uncovered,analytics
