query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
"can you check if dmitri has any overdue tasks? If so, book a 30 minute meeting with them called 'Catch up on overdue tasks' at the earliest time I'm free tomorrow and send them an email titled 'Discuss overdue tasks' saying 'I noticed you have a few overdue tasks - let's catch up tomorrow.' Otherwise send them an email saying 'Nice work keeping on top of your tasks this sprint!' titled 'Good work this sprint'","['company_directory.find_email_address.func(name=""Dmitri"")', 'project_management.search_tasks.func(assigned_to_email=""dmitri.ivanov@atlas.com"", due_date=""2023-11-29"")', 'calendar.create_event.func(event_name=""Catch up on overdue tasks"", participant_email=""dmitri.ivanov@atlas.com"", event_start=""2023-12-01 09:00:00"", duration=""30"")', 'email.send_email.func(recipient=""dmitri.ivanov@atlas.com"", subject=""Discuss overdue tasks"", body=""I noticed you have a few overdue tasks - let\'s catch up tomorrow."")']",Meeting scheduled and email sent to Dmitri regarding overdue tasks.,,improved,"['email.send_email.func(recipient=""dmitri.ivanov@atlas.com"", subject=""Good work this sprint"", body=""Nice work keeping on top of your tasks this sprint!"")']","If {name} has any overdue tasks, book a half hour meeting with them called 'Catch up on overdue tasks' at the earliest time I'm free tomorrow and send them an email titled 'Discuss overdue tasks' saying 'I noticed you have a few overdue tasks - let's catch up tomorrow.' Otherwise email them with 'Nice work keeping on top of your tasks this sprint!' titled 'Good work this sprint'","can you check if {name} has any overdue tasks? If so, book a 30 minute meeting with them called 'Catch up on overdue tasks' at the earliest time I'm free tomorrow and send them an email titled 'Discuss overdue tasks' saying 'I noticed you have a few overdue tasks - let's catch up tomorrow.' Otherwise send them an email saying 'Nice work keeping on top of your tasks this sprint!' titled 'Good work this sprint'","['email', 'calendar', 'project_management']",multi_domain,False,True,uncovered,multi_domain
"can you check if total visits was more than 10 at any time since November 19? If so, make a task 'Improve total visits' for aisha on the front-end backlog with a deadline of next Friday otherwise send them an email titled 'Recent total visits' saying 'I noticed total visits has been stable, nice work!'","['analytics.total_visits_count.func(time_min=""2023-11-19"", time_max=""2023-11-30"")', 'project_management.create_task.func(task_name=""Improve total visits"", assigned_to_email=""aisha@example.com"", list_name=""Backlog"", due_date=""2023-12-08"", board=""Front end"")', 'company_directory.find_email_address.func(name=""Aisha"")', 'project_management.create_task.func(task_name=""Improve total visits"", assigned_to_email=""aisha.chen@atlas.com"", list_name=""Backlog"", due_date=""2023-12-08"", board=""Front end"")']",Task 'Improve total visits' created successfully for Aisha with ID: 00000300.,,improved,"['project_management.create_task.func(task_name=""Improve total visits"", board=""Front end"", assigned_to_email=""aisha.chen@atlas.com"", due_date=""2023-12-08"", list_name=""Backlog"")']","If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date} make a backlog task 'Improve {natural_language_metric}' for {name} on the front-end board with a deadline of next Friday otherwise send them an email titled 'Recent {natural_language_metric}' saying 'I noticed {natural_language_metric} has been stable, nice work!' ","can you check if {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}? If so, make a task 'Improve {natural_language_metric}' for {name} on the front-end backlog with a deadline of next Friday otherwise send them an email titled 'Recent {natural_language_metric}' saying 'I noticed {natural_language_metric} has been stable, nice work!'","['analytics', 'email', 'project_management']",multi_domain,True,False,uncovered,multi_domain
"can you check if engaged users was more than 1 at any time since September 5? If so, make a task 'Improve engaged users' for chenwei on the front-end backlog with a deadline of next Friday otherwise send them an email titled 'Recent engaged users' saying 'I noticed engaged users has been stable, nice work!'","['analytics.engaged_users_count.func(time_min=""2023-09-05"")', 'project_management.create_task.func(task_name=""Improve engaged users"", assigned_to_email=""chenwei@example.com"", list_name=""Backlog"", due_date=""2023-12-08"", board=""Front end"")', 'company_directory.find_email_address.func(name=""Chenwei"")', 'project_management.create_task.func(task_name=""Improve engaged users"", assigned_to_email=""chenwei.zhang@atlas.com"", list_name=""Backlog"", due_date=""2023-12-08"", board=""Front end"")']",Task 'Improve engaged users' created successfully for Chenwei.,,improved,"['project_management.create_task.func(task_name=""Improve engaged users"", board=""Front end"", assigned_to_email=""chenwei.zhang@atlas.com"", due_date=""2023-12-08"", list_name=""Backlog"")']","If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date} make a backlog task 'Improve {natural_language_metric}' for {name} on the front-end board with a deadline of next Friday otherwise send them an email titled 'Recent {natural_language_metric}' saying 'I noticed {natural_language_metric} has been stable, nice work!' ","can you check if {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}? If so, make a task 'Improve {natural_language_metric}' for {name} on the front-end backlog with a deadline of next Friday otherwise send them an email titled 'Recent {natural_language_metric}' saying 'I noticed {natural_language_metric} has been stable, nice work!'","['analytics', 'email', 'project_management']",multi_domain,True,False,uncovered,multi_domain
Check the percent growth of total visits since Wednesday and if was more than engaged users make a backlog task called 'Improve engaged users' for carlos on the front-end board with a deadline of next Friday. Also schedule a half-hour meeting called 'Discuss total visits' with them at the first time I can do tomorrow,"['analytics.total_visits_count.func(time_min=""2026-07-12"", time_max=""2026-07-12"")', 'analytics.total_visits_count.func(time_min=""2026-07-13"", time_max=""2026-07-13"")', 'analytics.total_visits_count.func(time_min=""2023-11-01"")', 'analytics.engaged_users_count.func(time_min=""2023-11-29"", time_max=""2023-11-29"")', 'analytics.engaged_users_count.func(time_min=""2023-11-30"", time_max=""2023-11-30"")', 'company_directory.find_email_address.func(name=""Carlos"")', 'calendar.create_event.func(event_name=""Discuss total visits"", participant_email=""carlos.rodriguez@atlas.com"", event_start=""2023-12-01 09:00:00"", duration=""30"")']",Meeting scheduled successfully with ID: 00000300. No backlog task created as percent growth of total visits (-100%) was less than engaged users (5).,,improved,[],Check the percent growth of {natural_language_metric} since {day_of_week} and if was more than {natural_language_metric_2} make a backlog task called 'Improve {natural_language_metric_2}' for {name} on the front-end board with a deadline of next Friday. Also schedule a half-hour meeting called 'Discuss {natural_language_metric}' with them at the first time I can do tomorrow,Check the percent growth of {natural_language_metric} since {day_of_week} and if was more than {natural_language_metric_2} make a backlog task called 'Improve {natural_language_metric_2}' for {name} on the front-end board with a deadline of next Friday. Also schedule a half-hour meeting called 'Discuss {natural_language_metric}' with them at the first time I can do tomorrow,"['analytics', 'calendar', 'project_management']",multi_domain,False,True,uncovered,multi_domain
Check the percent growth of average session duration since Friday and if was more than engaged users make a backlog task called 'Improve engaged users' for aisha on the front-end board with a deadline of next Friday. Also schedule a half-hour meeting called 'Discuss average session duration' with them at the first time I can do tomorrow,"['analytics.get_average_session_duration.func(time_min=""2023-11-24"", time_max=""2023-11-30"")', 'analytics.engaged_users_count.func(time_min=""2023-11-24"", time_max=""2023-11-30"")', 'calendar.create_event.func(event_name=""Discuss average session duration"", participant_email=""aisha@example.com"", event_start=""2023-12-01 09:00:00"", duration=""30"")']","{'task_created': False, 'meeting_scheduled': True, 'meeting_event_id': '00000300'}",,improved,[],Check the percent growth of {natural_language_metric} since {day_of_week} and if was more than {natural_language_metric_2} make a backlog task called 'Improve {natural_language_metric_2}' for {name} on the front-end board with a deadline of next Friday. Also schedule a half-hour meeting called 'Discuss {natural_language_metric}' with them at the first time I can do tomorrow,Check the percent growth of {natural_language_metric} since {day_of_week} and if was more than {natural_language_metric_2} make a backlog task called 'Improve {natural_language_metric_2}' for {name} on the front-end board with a deadline of next Friday. Also schedule a half-hour meeting called 'Discuss {natural_language_metric}' with them at the first time I can do tomorrow,"['analytics', 'calendar', 'project_management']",multi_domain,False,True,uncovered,multi_domain
"can you check if engaged users was more than 11 at any time since November 21? If so, delete all the leads assigned to Raj's in the CRM and send them an email titled 'Reprioritising' saying 'engaged users looks good, so we no longer need you finding new leads'. If not say 'We need you to improve engaged users - TBD.'","['analytics.engaged_users_count.func(time_min=""2023-11-21"")']",We need you to improve engaged users - TBD.,,improved,"['customer_relationship_manager.delete_customer.func(customer_id=""00000154"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000149"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000032"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000194"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000129"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000062"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000100"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000108"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000065"")', 'customer_relationship_manager.delete_customer.func(customer_id=""00000152"")', 'email.send_email.func(recipient=""raj.patel@atlas.com"", subject=""Reprioritising"", body=""engaged users looks good, so we no longer need you finding new leads"")']","If {natural_language_metric} was more than {threshold} at any time since {natural_language_date} delete {assigned_to_first_name}'s new leads in the CRM and send them an email titled 'Reprioritising'saying '{natural_language_metric} looks good, so we no longer need you finding new leads'.If not say in the email 'We need you to improve {natural_language_metric} - TBD.'","can you check if {natural_language_metric} was more than {threshold} at any time since {natural_language_date}? If so, delete all the leads assigned to {assigned_to_first_name}'s in the CRM and send them an email titled 'Reprioritising' saying '{natural_language_metric} looks good, so we no longer need you finding new leads'. If not say 'We need you to improve {natural_language_metric} - TBD.'","['analytics', 'crm', 'email']",multi_domain,False,False,uncovered,multi_domain
"If engaged users was less than 1 at any time since September 26 make a backlog task 'Improve engaged users' for chenwei on the front-end board with a deadline of next Friday and schedule a half-hour meeting called 'Discuss engaged users' for us at the first time I can do tomorrow otherwise send them an email titled 'engaged users' saying 'I noticed engaged users has been stable, nice work!''","['analytics.engaged_users_count.func(time_min=""2023-09-26"", time_max=""2023-11-30"")', 'company_directory.find_email_address.func(name=""Chenwei"")', 'project_management.create_task.func(task_name=""Improve engaged users"", assigned_to_email=""chenwei.zhang@atlas.com"", list_name=""Backlog"", due_date=""2023-12-08"", board=""Front end"")', 'calendar.create_event.func(event_name=""Discuss engaged users"", participant_email=""chenwei.zhang@atlas.com"", event_start=""2023-12-01 09:00:00"", duration=""30"")']",Task and meeting successfully scheduled.,,improved,"['project_management.create_task.func(task_name=""Improve engaged users"", board=""Front end"", assigned_to_email=""chenwei.zhang@atlas.com"", due_date=""2023-12-08"", list_name=""Backlog"")', 'calendar.create_event.func(event_name=""Discuss engaged users"", participant_email=""chenwei.zhang@atlas.com"", event_start=""2023-12-01 13:00:00"", duration=""30"")']","If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date} make a backlog task 'Improve {natural_language_metric}' for {name} on the front-end board with a deadline of next Friday and schedule a half-hour meeting called 'Discuss {natural_language_metric}' for us at the first time I can do tomorrow otherwise send them an email titled '{natural_language_metric}' saying 'I noticed {natural_language_metric} has been stable, nice work!''","If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date} make a backlog task 'Improve {natural_language_metric}' for {name} on the front-end board with a deadline of next Friday and schedule a half-hour meeting called 'Discuss {natural_language_metric}' for us at the first time I can do tomorrow otherwise send them an email titled '{natural_language_metric}' saying 'I noticed {natural_language_metric} has been stable, nice work!''","['analytics', 'calendar', 'email', 'project_management']",multi_domain,False,True,uncovered,multi_domain
"can you check if total visits was less than 10 at any time since November 17? If so, make a task 'Improve total visits' for amir on the front-end backlog that's due next Friday and schedule a half-hour meeting called 'Discuss total visits' for us at the first time I can do tomorrow otherwise send them an email titled 'total visits' saying 'I noticed total visits has been stable, nice work!''","['analytics.total_visits_count.func(time_min=""2023-11-17"", time_max=""2023-11-30"")', 'project_management.create_task.func(task_name=""Improve total visits"", assigned_to_email=""amir@example.com"", list_name=""Backlog"", due_date=""2023-12-08"", board=""Front end"")', 'company_directory.find_email_address.func(name=""Amir"")', 'project_management.create_task.func(task_name=""Improve total visits"", assigned_to_email=""amir.ali@atlas.com"", list_name=""Backlog"", due_date=""2023-12-08"", board=""Front end"")', 'calendar.create_event.func(event_name=""Discuss total visits"", participant_email=""amir.ali@atlas.com"", event_start=""2023-12-01 09:00:00"", duration=""30"")']",Task and meeting successfully scheduled.,,improved,"['project_management.create_task.func(task_name=""Improve total visits"", board=""Front end"", assigned_to_email=""amir.ali@atlas.com"", due_date=""2023-12-08"", list_name=""Backlog"")', 'calendar.create_event.func(event_name=""Discuss total visits"", participant_email=""amir.ali@atlas.com"", event_start=""2023-12-01 13:00:00"", duration=""30"")']","If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date} make a backlog task 'Improve {natural_language_metric}' for {name} on the front-end board with a deadline of next Friday and schedule a half-hour meeting called 'Discuss {natural_language_metric}' for us at the first time I can do tomorrow otherwise send them an email titled '{natural_language_metric}' saying 'I noticed {natural_language_metric} has been stable, nice work!''","can you check if {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}? If so, make a task 'Improve {natural_language_metric}' for {name} on the front-end backlog that's due next Friday and schedule a half-hour meeting called 'Discuss {natural_language_metric}' for us at the first time I can do tomorrow otherwise send them an email titled '{natural_language_metric}' saying 'I noticed {natural_language_metric} has been stable, nice work!''","['analytics', 'calendar', 'email', 'project_management']",multi_domain,False,True,uncovered,multi_domain
"can you check if engaged users was more than 5 at any time since November 29? If so, make a task for santiago on the backlog called 'Improve engaged users' on the front-end board that's due next Friday and book a half-hour meeting for us called 'Discuss engaged users' at the earliest time I can do tomorrow. otherwise send them an email titled 'New leads for you' saying 'engaged users looks good, so there are new leads for you' and then give them all Lena's leads in the CRM","['analytics.engaged_users_count.func(time_min=""2023-11-29"")', 'customer_relationship_manager.search_customers.func(product_interest="""", status=""Lead"", assigned_to_email=""lena@example.com"")', 'email.send_email.func(recipient=""santiago@example.com"", subject=""New leads for you"", body=""engaged users looks good, so there are new leads for you"")']",Email sent successfully to Santiago regarding new leads.,,improved,"['customer_relationship_manager.update_customer.func(customer_id=""00000187"", field=""assigned_to_email"", new_value=""santiago.martinez@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000076"", field=""assigned_to_email"", new_value=""santiago.martinez@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000188"", field=""assigned_to_email"", new_value=""santiago.martinez@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000034"", field=""assigned_to_email"", new_value=""santiago.martinez@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000180"", field=""assigned_to_email"", new_value=""santiago.martinez@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000017"", field=""assigned_to_email"", new_value=""santiago.martinez@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000063"", field=""assigned_to_email"", new_value=""santiago.martinez@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000177"", field=""assigned_to_email"", new_value=""santiago.martinez@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000113"", field=""assigned_to_email"", new_value=""santiago.martinez@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000015"", field=""assigned_to_email"", new_value=""santiago.martinez@atlas.com"")', 'customer_relationship_manager.update_customer.func(customer_id=""00000110"", field=""assigned_to_email"", new_value=""santiago.martinez@atlas.com"")', 'email.send_email.func(recipient=""santiago.martinez@atlas.com"", subject=""New leads for you"", body=""engaged users looks good, so there are new leads for you"")']","If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date} make a backlog task called 'Improve {natural_language_metric}' for {name} on the front-end board with a deadline of next Friday and book a half-hour meeting for us called 'Discuss {natural_language_metric}' at the earliest time I'm free tomorrow. otherwise send them an email titled 'New leads for you' saying '{natural_language_metric} looks good, so there are new leads for you' and then give them all {assigned_to_first_name}'s leads in the CRM","can you check if {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}? If so, make a task for {name} on the backlog called 'Improve {natural_language_metric}' on the front-end board that's due next Friday and book a half-hour meeting for us called 'Discuss {natural_language_metric}' at the earliest time I can do tomorrow. otherwise send them an email titled 'New leads for you' saying '{natural_language_metric} looks good, so there are new leads for you' and then give them all {assigned_to_first_name}'s leads in the CRM","['analytics', 'calendar', 'email', 'project_management', 'crm']",multi_domain,False,True,uncovered,multi_domain
"Was total visits more than 10 at any time since September 29? If so, make a backlog task called 'Improve total visits' for aisha on the front-end board with a deadline of next Friday and book a 30 minute meeting for us called 'Discuss total visits' at the earliest time I'm free tomorrow. otherwise send them an email and title it 'New leads for you' saying 'total visits looks good, so there are new leads for you' and then give them all Sofia's leads in the CRM","['analytics.total_visits_count.func(time_min=""2023-09-29"")', 'project_management.create_task.func(task_name=""Improve total visits"", assigned_to_email=""aisha@example.com"", list_name=""Backlog"", due_date=""2023-12-08"", board=""Front end"")', 'company_directory.find_email_address.func(name=""Aisha"")', 'project_management.create_task.func(task_name=""Improve total visits"", assigned_to_email=""aisha.chen@atlas.com"", list_name=""Backlog"", due_date=""2023-12-08"", board=""Front end"")', 'calendar.search_events.func(time_min=""2023-12-01 09:00:00"", time_max=""2023-12-01 18:00:00"")', 'calendar.create_event.func(event_name=""Discuss total visits"", participant_email=""aisha.chen@atlas.com"", event_start=""2023-12-01 12:00:00"", duration=""30"")']","Task 'Improve total visits' created for Aisha. Meeting 'Discuss total visits' scheduled for December 1, 2023, at 12 PM.",,improved,"['project_management.create_task.func(task_name=""Improve total visits"", board=""Front end"", assigned_to_email=""aisha.chen@atlas.com"", due_date=""2023-12-08"", list_name=""Backlog"")', 'calendar.create_event.func(event_name=""Discuss total visits"", participant_email=""aisha.chen@atlas.com"", event_start=""2023-12-01 13:00:00"", duration=""30"")']","If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date} make a backlog task called 'Improve {natural_language_metric}' for {name} on the front-end board with a deadline of next Friday and book a half-hour meeting for us called 'Discuss {natural_language_metric}' at the earliest time I'm free tomorrow. otherwise send them an email titled 'New leads for you' saying '{natural_language_metric} looks good, so there are new leads for you' and then give them all {assigned_to_first_name}'s leads in the CRM","Was {natural_language_metric} {more_or_less} than {threshold} at any time since {natural_language_date}? If so, make a backlog task called 'Improve {natural_language_metric}' for {name} on the front-end board with a deadline of next Friday and book a 30 minute meeting for us called 'Discuss {natural_language_metric}' at the earliest time I'm free tomorrow. otherwise send them an email and title it 'New leads for you' saying '{natural_language_metric} looks good, so there are new leads for you' and then give them all {assigned_to_first_name}'s leads in the CRM","['analytics', 'calendar', 'email', 'project_management', 'crm']",multi_domain,False,True,uncovered,multi_domain
