query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
nadia just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?,"['email.search_emails.func(query=""nadia"", date_min="""", date_max="""")', 'email.delete_email.func(email_id=""00000479"")']",The most recent email from Nadia has been successfully deleted.,,improved,"['email.delete_email.func(email_id=""00000479"")']",Delete my last email from {name},{name} just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?,['email'],email,True,False,uncovered,email
Delete my last email from kofi,"['email.search_emails.func(query=""kofi"")', 'email.delete_email.func(email_id=""00000259"")']",The last email from Kofi has been successfully deleted.,,improved,"['email.delete_email.func(email_id=""00000259"")']",Delete my last email from {name},Delete my last email from {name},['email'],email,True,False,uncovered,email
Delete all my emails from yuki from the last 5 days,"['email.search_emails.func(query=""yuki"", date_min=""2026-07-17"", date_max=""2026-07-22"")']",No emails found from Yuki in the last 5 days.,,improved,"['email.delete_email.func(email_id=""00000149"")']",Delete all my emails from {name} from the last {days} days,Delete all my emails from {name} from the last {days} days,['email'],email,False,False,uncovered,email
I need to get rid of all my emails from raj from the last 3 days. Can you do delete them?,"['email.search_emails.func(query=""raj"", date_min=""2026-07-19"", date_max=""2026-07-22"")']","No emails from Raj found in the last 3 days, so no emails were deleted.",,improved,"['email.delete_email.func(email_id=""00000402"")', 'email.delete_email.func(email_id=""00000199"")', 'email.delete_email.func(email_id=""00000140"")', 'email.delete_email.func(email_id=""00000421"")', 'email.delete_email.func(email_id=""00000245"")', 'email.delete_email.func(email_id=""00000436"")']",Delete all my emails from {name} from the last {days} days,I need to get rid of all my emails from {name} from the last {days} days. Can you do delete them?,['email'],email,False,False,uncovered,email
Delete all my emails from amir from the last 6 days,"['email.search_emails.func(query=""amir"", date_min=""2023-11-24"", date_max=""2023-11-30"")', 'email.delete_email.func(email_id=""00000188"")', 'email.delete_email.func(email_id=""00000291"")', 'email.delete_email.func(email_id=""00000196"")']",All emails from Amir from the last 6 days have been successfully deleted.,,improved,"['email.delete_email.func(email_id=""00000196"")', 'email.delete_email.func(email_id=""00000291"")', 'email.delete_email.func(email_id=""00000188"")']",Delete all my emails from {name} from the last {days} days,Delete all my emails from {name} from the last {days} days,['email'],email,True,False,uncovered,email
"I need to send an email to chenwei saying 'chenwei,\n\nI wanted to let you know that I've completed the tasks for the daily stand-up. Looking forward to your feedback.\n\nThanks,\n\nSam' and title it 'Update on daily stand-up'. Can you do that?","['company_directory.find_email_address.func(name=""chenwei"")', 'email.send_email.func(recipient=""chenwei.zhang@atlas.com"", subject=""Update on daily stand-up"", body=""chenwei,\\n\\nI wanted to let you know that I\'ve completed the tasks for the daily stand-up. Looking forward to your feedback.\\n\\nThanks,\\n\\nSam"")']",The email has been sent successfully to chenwei.,,improved,"['email.send_email.func(recipient=""chenwei.zhang@atlas.com"", subject=""Update on daily stand-up"", body=""chenwei,\\n\\nI wanted to let you know that I\'ve completed the tasks for the daily stand-up. Looking forward to your feedback.\\n\\nThanks,\\n\\nSam"")']",Send an email to {name} saying '{body}' and title it '{subject}',I need to send an email to {name} saying '{body}' and title it '{subject}'. Can you do that?,['email'],email,True,False,uncovered,email
"please send an email to aisha saying 'Hi aisha,\n\nI have some ideas for the Machine Learning Chat that I'd like to run by you. When are you free?\n\nBest,\n\nSam' and title it 'Update on Innovation and Creativity Hackathon'","['company_directory.find_email_address.func(name=""Aisha"")', 'email.send_email.func(recipient=""aisha.chen@atlas.com"", subject=""Update on Innovation and Creativity Hackathon"", body=""Hi Aisha,\\n\\nI have some ideas for the Machine Learning Chat that I\'d like to run by you. When are you free?\\n\\nBest,\\n\\nSam"")']",The email has been sent successfully to Aisha.,,improved,"['email.send_email.func(recipient=""aisha.chen@atlas.com"", subject=""Update on Innovation and Creativity Hackathon"", body=""Hi aisha,\\n\\nI have some ideas for the Machine Learning Chat that I\'d like to run by you. When are you free?\\n\\nBest,\\n\\nSam"")']",Send an email to {name} saying '{body}' and title it '{subject}',please send an email to {name} saying '{body}' and title it '{subject}',['email'],email,True,False,uncovered,email
Reply to yuki's last email about 'Update on Corporate Social Responsibility Initiative' with 'Thanks for the update - I will get back to you tomorrow.',"['email.search_emails.func(query=""yuki Update on Corporate Social Responsibility Initiative"")', 'email.reply_email.func(email_id=""00000446"", body=""Thanks for the update - I will get back to you tomorrow."")']",Email replied successfully.,,improved,"['email.reply_email.func(email_id=""00000446"", body=""Thanks for the update - I will get back to you tomorrow."")']",Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',['email'],email,True,False,uncovered,email
Reply to nia's last email about 'Task Update on Design logo for website' with 'Thanks for the update - I will get back to you tomorrow.',"['email.search_emails.func(query=""nia Task Update on Design logo for website"", date_min=""2023-11-29"", date_max=""2023-11-30"")', 'email.search_emails.func(query=""nia Task Update on Design logo for website"")', 'email.reply_email.func(email_id=""00000403"", body=""Thanks for the update - I will get back to you tomorrow."")']",The email has been successfully replied to.,,improved,"['email.reply_email.func(email_id=""00000403"", body=""Thanks for the update - I will get back to you tomorrow."")']",Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',['email'],email,True,False,uncovered,email
Reply to yuki's last email about 'Task Update on Add authentication for email notification' with 'Thanks for the update - I will get back to you tomorrow.',"['email.search_emails.func(query=""yuki Task Update on Add authentication for email notification"", date_min=""2023-11-01"", date_max=""2023-11-30"")', 'email.reply_email.func(email_id=""00000286"", body=""Thanks for the update - I will get back to you tomorrow."")']",Email replied successfully.,,improved,"['email.reply_email.func(email_id=""00000286"", body=""Thanks for the update - I will get back to you tomorrow."")']",Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',Reply to {name}'s last email about '{subject}' with 'Thanks for the update - I will get back to you tomorrow.',['email'],email,True,False,uncovered,email
