query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
If we haven't spoke to Riley Brown in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on Riley Brown' at the first time I'm free tomorrow,"['email.search_emails.func(query=""Riley Brown"", date_min=""2023-11-16"", date_max=""2023-11-30"")', 'customer_relationship_manager.search_customers.func(customer_name=""Riley Brown"", customer_email="""", product_interest="""", status="""", assigned_to_email="""", last_contact_date_min="""", last_contact_date_max="""", follow_up_by_min="""", follow_up_by_max="""")', 'calendar.search_events.func(time_min=""2023-12-01 09:00:00"", time_max=""2023-12-01 18:00:00"")', 'calendar.create_event.func(event_name=""Update on Riley Brown"", participant_email=""lena.schmidt@atlas.com"", event_start=""2023-12-01 14:00:00"", duration=""30"")']","The meeting 'Update on Riley Brown' has been successfully scheduled with Lena Schmidt for December 1, 2023, from 14:00 to 14:30.",,improved,"['calendar.create_event.func(event_name=""Update on Riley Brown"", participant_email=""lena.schmidt@atlas.com"", event_start=""2023-12-01 13:00:00"", duration=""30"")']",If we haven't spoke to {current_customer_name} in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow,If we haven't spoke to {current_customer_name} in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow,"['crm', 'calendar']",multi_domain,False,True,uncovered,multi_domain
"If we haven't spoken to Kerry Brown in the past 2 weeks, book a half hour meeting with whoeveris assigned to them called 'Update on Kerry Brown' at the first time I'm free tomorrow","['customer_relationship_manager.search_customers.func(customer_name=""Kerry Brown"", last_contact_date_min=""2023-11-16"", last_contact_date_max=""2023-11-30"")', 'customer_relationship_manager.search_customers.func(customer_name=""Kerry Brown"", customer_email="""", product_interest="""", status="""", assigned_to_email="""", last_contact_date_min="""", last_contact_date_max="""")', 'calendar.create_event.func(event_name=""Update on Kerry Brown"", participant_email=""lena.schmidt@atlas.com"", event_start=""2023-12-01 09:00:00"", duration=""30"")']",The meeting 'Update on Kerry Brown' has been successfully scheduled for tomorrow at 9 AM with Lena Schmidt.,,improved,"['calendar.create_event.func(event_name=""Update on Kerry Brown"", participant_email=""lena.schmidt@atlas.com"", event_start=""2023-12-01 13:00:00"", duration=""30"")']",If we haven't spoke to {current_customer_name} in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow,"If we haven't spoken to {current_customer_name} in the past 2 weeks, book a half hour meeting with whoeveris assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow","['crm', 'calendar']",multi_domain,False,True,uncovered,multi_domain
Can you find the person with the fewest overdue tasks and assign Cameron Brown to them as a new lead in the crm?,"['project_management.search_tasks.func(task_name="""", assigned_to_email="""", list_name="""", due_date=""2023-11-30"", board="""")', 'company_directory.find_email_address.func(name=""Cameron Brown"")', 'customer_relationship_manager.add_customer.func(customer_name=""Cameron Brown"", assigned_to_email=""dmitri.ivanov@atlas.com"", status=""Lead"", customer_email=""cameron.brown@example.com"", customer_phone="""", last_contact_date="""", product_interest="""", notes=""New lead assigned to Dmitri Ivanov."", follow_up_by="""")']",Cameron Brown has been assigned as a new lead to Dmitri Ivanov with customer ID 00000200.,,improved,"['customer_relationship_manager.add_customer.func(customer_name=""Cameron Brown"", assigned_to_email=""anaya.patel@atlas.com"", status=""Lead"")']", Add {new_customer_name} as a new lead in the crm and assign them to the person with the fewest overdue tasks,Can you find the person with the fewest overdue tasks and assign {new_customer_name} to them as a new lead in the crm?,"['crm', 'project_management']",multi_domain,False,True,uncovered,multi_domain
 Add Jaden Anderson as a new lead in the crm and assign them to the person with the fewest overdue tasks,"['company_directory.find_email_address.func(name=""Jaden Anderson"")', 'company_directory.find_email_address.func(name=""Jaden"")', 'project_management.search_tasks.func(task_name="""", assigned_to_email="""", list_name="""", due_date="""", board="""")', 'project_management.search_tasks.func(task_name="""", assigned_to_email="""", list_name="""", due_date=""2023-11-29"", board="""")', 'customer_relationship_manager.add_customer.func(customer_name=""Jaden Anderson"", assigned_to_email=""luis.ortiz@atlas.com"", status=""Lead"", customer_email="""", customer_phone="""", last_contact_date="""", product_interest="""", follow_up_by="""")']",Jaden Anderson has been successfully added as a new lead with customer ID 00000200 and assigned to Luis Ortiz.,,improved,"['customer_relationship_manager.add_customer.func(customer_name=""Jaden Anderson"", assigned_to_email=""anaya.patel@atlas.com"", status=""Lead"")']", Add {new_customer_name} as a new lead in the crm and assign them to the person with the fewest overdue tasks, Add {new_customer_name} as a new lead in the crm and assign them to the person with the fewest overdue tasks,"['crm', 'project_management']",multi_domain,False,True,uncovered,multi_domain
Can you find the email from November 20 about 'Task Update on Implement payment gateway API' and schedule a 30 minute meeting called 'Task Update on Implement payment gateway API' at 12:30 with the sender for December 18?,"['email.search_emails.func(query=""Task Update on Implement payment gateway API"", date_min=""2023-11-20"", date_max=""2023-11-20"")', 'calendar.create_event.func(event_name=""Task Update on Implement payment gateway API"", participant_email=""leila.azizi@atlas.com"", event_start=""2023-12-18 12:30:00"", duration=""30"")']",The meeting 'Task Update on Implement payment gateway API' has been successfully scheduled for December 18 at 12:30 PM with Leila Azizi.,,improved,"['calendar.create_event.func(event_name=""Task Update on Implement payment gateway API"", participant_email=""leila.azizi@atlas.com"", event_start=""2023-12-18 12:30:00"", duration=""30"")']",Find the email from {natural_language_email_date} about {subject} and schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} with the sender for {natural_language_event_date}.,Can you find the email from {natural_language_email_date} about '{subject}' and schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} with the sender for {natural_language_event_date}?,"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
I need to make sure everyone remembers to attend the first event on December 11. Can you send an email to the attendees with the event name as the title and 'Remember to attend this event.' in the email?,"['calendar.search_events.func(query=""December 11"", time_min=""2023-12-11 09:00:00"", time_max=""2023-12-11 18:00:00"")', 'calendar.search_events.func(query=""December 11"", time_min=""2023-12-11 00:00:00"", time_max=""2023-12-12 00:00:00"")', 'calendar.search_events.func(query=""December"", time_min=""2023-12-01 00:00:00"", time_max=""2023-12-31 23:59:59"")', 'calendar.search_events.func(time_min=""2023-12-01 00:00:00"", time_max=""2023-12-07 23:59:59"")', 'email.send_email.func(recipient=""olga.petrova@atlas.com"", subject=""Corporate Social Responsibility Initiative"", body=""Remember to attend this event."")']",Email sent successfully to Olga Petrova regarding the Corporate Social Responsibility Initiative event.,,improved,"['email.send_email.func(recipient=""nia.johnson@atlas.com"", subject=""Annual Budget Planning Session"", body=""Remember to attend this event."")']",Send an email to attendees of the first event on {natural_language_event_date}. Title it with the event name and tell them 'Remember to attend this event.',I need to make sure everyone remembers to attend the first event on {natural_language_event_date}. Can you send an email to the attendees with the event name as the title and 'Remember to attend this event.' in the email?,"['email', 'calendar']",multi_domain,False,True,uncovered,multi_domain
I need to make sure everyone remembers to attend the first event on December 6. Can you send an email to the attendees with the event name as the title and 'Remember to attend this event.' in the email?,"['calendar.search_events.func(query=""December 6"", time_min=""2023-12-06 09:00:00"", time_max=""2023-12-06 18:00:00"")', 'calendar.search_events.func(query=""December 6"", time_min=""2023-12-06 00:00:00"", time_max=""2023-12-07 00:00:00"")', 'calendar.search_events.func(query=""December"", time_min=""2023-12-05 00:00:00"", time_max=""2023-12-07 23:59:59"")', 'calendar.search_events.func(query=""December"", time_min=""2023-12-01 00:00:00"", time_max=""2023-12-31 23:59:59"")']","Since there are no events scheduled for December 6, I cannot send an email regarding attendance for that date. If you have any other tasks or need assistance with something else, please let me know!",,improved,"['email.send_email.func(recipient=""aisha.chen@atlas.com"", subject=""introductory call"", body=""Remember to attend this event."")']",Send an email to attendees of the first event on {natural_language_event_date}. Title it with the event name and tell them 'Remember to attend this event.',I need to make sure everyone remembers to attend the first event on {natural_language_event_date}. Can you send an email to the attendees with the event name as the title and 'Remember to attend this event.' in the email?,"['email', 'calendar']",multi_domain,False,False,uncovered,multi_domain
"I can't remember the last time I heard from kofi. Can you check if they've sent me any emails in the past 4 days? If not, schedule a 30 minute meeting with them for Tuesday at 10:30 called 'Catch up with kofi'","['email.search_emails.func(query=""kofi"", date_min=""2026-07-09"", date_max=""2026-07-13"")', 'company_directory.find_email_address.func(name=""Kofi"")', 'calendar.create_event.func(event_name=""Catch up with Kofi"", participant_email=""kofi.mensah@atlas.com"", event_start=""2023-12-05 10:30:00"", duration=""30"")']","Meeting 'Catch up with Kofi' scheduled successfully for Tuesday, December 5th at 10:30 AM.",,improved,"['calendar.create_event.func(event_name=""Catch up with kofi"", participant_email=""kofi.mensah@atlas.com"", event_start=""2023-12-05 10:30:00"", duration=""30"")']","If {sender_name} hasn't sent me any emails in the past {days} days, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","I can't remember the last time I heard from {sender_name}. Can you check if they've sent me any emails in the past {days} days? If not, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
"If akira hasn't sent me any emails in the past 3 days, schedule a 30 minute meeting with them for Friday at 2:30 called 'Catch up with akira'","['email.search_emails.func(query=""akira"", date_min=""2023-11-27"", date_max=""2023-11-30"")']",No meeting scheduled with Akira as they have sent an email in the past 3 days.,,improved,[],"If {sender_name} hasn't sent me any emails in the past {days} days, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","If {sender_name} hasn't sent me any emails in the past {days} days, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
I haven't met with akira in a while. if it's been longer than 2 days can you send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?',"['customer_relationship_manager.search_customers.func(customer_name=""Akira"", last_contact_date_max=""2023-11-30"")', 'company_directory.find_email_address.func(name=""Akira"")', 'email.send_email.func(recipient=""akira.sato@atlas.com"", subject=""Catch up soon?"", body=""We haven\'t caught up in a while - can you send some availability over next week?"")']",Email sent successfully to Akira.,,improved,"['email.send_email.func(recipient=""akira.sato@atlas.com"", subject=""Catch up soon?"", body=""We haven\'t caught up in a while - can you send some availability over next week?"")']","If I haven't met with {name} in the past {days} days, send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?'",I haven't met with {name} in a while. if it's been longer than {days} days can you send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?',"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
