query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
If we haven't spoke to Cameron Anderson in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on Cameron Anderson' at the first time I'm free tomorrow,"['customer_relationship_manager.search_customers.func(customer_name=""Cameron Anderson"", customer_email="""", product_interest="""", status="""")', 'calendar.create_event.func(event_name=""Update on Cameron Anderson"", participant_email=""sofia.santos@atlas.com"", event_start=""2023-12-01 09:00:00"", duration=""30"")']","The meeting 'Update on Cameron Anderson' has been successfully scheduled for December 1, 2023, at 9:00 AM with Sofia Santos.",,improved,"['calendar.create_event.func(event_name=""Update on Cameron Anderson"", participant_email=""sofia.santos@atlas.com"", event_start=""2023-12-01 13:00:00"", duration=""30"")']",If we haven't spoke to {current_customer_name} in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow,If we haven't spoke to {current_customer_name} in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow,"['crm', 'calendar']",multi_domain,False,True,uncovered,multi_domain
If we haven't spoke to Jamie Anderson in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on Jamie Anderson' at the first time I'm free tomorrow,"['customer_relationship_manager.search_customers.func(customer_name=""Jamie Anderson"", last_contact_date_min=""2023-11-16"", last_contact_date_max=""2023-11-30"")', 'customer_relationship_manager.search_customers.func(customer_name=""Jamie Anderson"", customer_email="""", product_interest="""", status="""", assigned_to_email="""", last_contact_date_min="""", last_contact_date_max="""", follow_up_by_min="""", follow_up_by_max="""")', 'calendar.create_event.func(event_name=""Update on Jamie Anderson"", participant_email=""nadia.moreau@atlas.com"", event_start=""2023-12-01 09:00:00"", duration=""30"")']","The meeting 'Update on Jamie Anderson' has been successfully scheduled for December 1, 2023, at 9:00 AM with Nadia Moreau.",,improved,"['calendar.create_event.func(event_name=""Update on Jamie Anderson"", participant_email=""nadia.moreau@atlas.com"", event_start=""2023-12-01 13:00:00"", duration=""30"")']",If we haven't spoke to {current_customer_name} in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow,If we haven't spoke to {current_customer_name} in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow,"['crm', 'calendar']",multi_domain,False,True,uncovered,multi_domain
I need to add Alex Anderson as a new lead in the crm. Can you assign them to the person with the fewest overdue tasks?,"['project_management.search_tasks.func(due_date=""2023-11-29"")', 'customer_relationship_manager.add_customer.func(customer_name=""Alex Anderson"", assigned_to_email=""luis.ortiz@atlas.com"", status=""Lead"", customer_email="""", customer_phone="""", last_contact_date="""", product_interest="""", follow_up_by="""")']",Alex Anderson has been added as a new lead with ID 00000200 and assigned to Luis Ortiz.,,improved,"['customer_relationship_manager.add_customer.func(customer_name=""Alex Anderson"", assigned_to_email=""anaya.patel@atlas.com"", status=""Lead"")']", Add {new_customer_name} as a new lead in the crm and assign them to the person with the fewest overdue tasks,I need to add {new_customer_name} as a new lead in the crm. Can you assign them to the person with the fewest overdue tasks?,"['crm', 'project_management']",multi_domain,False,True,uncovered,multi_domain
Can you find the person with the fewest overdue tasks and assign Jamie Davis to them as a new lead in the crm?,"['customer_relationship_manager.search_customers.func(customer_name="""", customer_email="""", product_interest="""", status="""", assigned_to_email="""", last_contact_date_min="""", last_contact_date_max="""", follow_up_by_min="""", follow_up_by_max="""")', 'customer_relationship_manager.search_customers.func(customer_name="""", customer_email="""", product_interest="""", status="""", assigned_to_email="""", last_contact_date_min="""", last_contact_date_max="""", follow_up_by_min="""", follow_up_by_max="""")', 'customer_relationship_manager.search_customers.func(customer_name="""", customer_email="""", product_interest="""", status=""Lead"", assigned_to_email="""", last_contact_date_min="""", last_contact_date_max="""", follow_up_by_min="""", follow_up_by_max="""")', 'project_management.search_tasks.func(task_name="""", assigned_to_email=""lena.schmidt@atlas.com"", list_name="""", due_date="""", board="""")', 'project_management.search_tasks.func(task_name="""", assigned_to_email=""raj.patel@atlas.com"", list_name="""", due_date="""", board="""")', 'project_management.search_tasks.func(task_name="""", assigned_to_email=""raj.patel@atlas.com"", list_name="""", due_date="""", board="""")', 'project_management.search_tasks.func(task_name="""", assigned_to_email=""lena.schmidt@atlas.com"", list_name="""", due_date="""", board="""")', 'project_management.search_tasks.func(task_name="""", assigned_to_email=""nadia.moreau@atlas.com"", list_name="""", due_date="""", board="""")', 'company_directory.find_email_address.func(name=""Jamie Davis"")', 'company_directory.find_email_address.func(name=""Jamie"")', 'customer_relationship_manager.add_customer.func(customer_name=""Quinn Robinson"", assigned_to_email=""jamie.davis@placeholder.com"", status=""Lead"", customer_email=""quinn.robinson@flexenergy"", customer_phone=""399-396-5380"", last_contact_date=""2023-11-30"", product_interest=""Hardware"", follow_up_by=""2023-12-23"")']",Assigned Jamie Davis to Quinn Robinson as a new lead with customer ID 00000200.,,improved,"['customer_relationship_manager.add_customer.func(customer_name=""Jamie Davis"", assigned_to_email=""anaya.patel@atlas.com"", status=""Lead"")']", Add {new_customer_name} as a new lead in the crm and assign them to the person with the fewest overdue tasks,Can you find the person with the fewest overdue tasks and assign {new_customer_name} to them as a new lead in the crm?,"['crm', 'project_management']",multi_domain,False,True,uncovered,multi_domain
I need to schedule a 1.5 hour meeting called 'Update on Creative Thinking Workshop' at 11:30 for December 12. It's with the sender of the email from November 27 about 'Update on Creative Thinking Workshop'. Can you do that?,"['email.search_emails.func(query=""Update on Creative Thinking Workshop"", date_min=""2023-11-27"", date_max=""2023-11-27"")', 'calendar.create_event.func(event_name=""Update on Creative Thinking Workshop"", participant_email=""akira.sato@atlas.com"", event_start=""2023-12-12 11:30:00"", duration=""90"")']",The meeting 'Update on Creative Thinking Workshop' has been successfully scheduled for December 12 at 11:30 AM with Akira Sato. Event ID: 00000300.,,improved,"['calendar.create_event.func(event_name=""Update on Creative Thinking Workshop"", participant_email=""akira.sato@atlas.com"", event_start=""2023-12-12 11:30:00"", duration=""90"")']",Find the email from {natural_language_email_date} about {subject} and schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} with the sender for {natural_language_event_date}.,I need to schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} for {natural_language_event_date}. It's with the sender of the email from {natural_language_email_date} about '{subject}'. Can you do that?,"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
Can you send an email to attendees of the first event on November 30? Title it with the event name and tell them 'Remember to attend this event.',"['calendar.search_events.func(time_min=""2023-11-30 00:00:00"", time_max=""2023-11-30 23:59:59"")', 'email.send_email.func(recipient=""fatima.khan@atlas.com"", subject=""Annual Budget Planning Session"", body=""Remember to attend this event."")']",Email sent successfully to Fatima Khan regarding the Annual Budget Planning Session.,,improved,"['email.send_email.func(recipient=""fatima.khan@atlas.com"", subject=""Annual Budget Planning Session"", body=""Remember to attend this event."")']",Send an email to attendees of the first event on {natural_language_event_date}. Title it with the event name and tell them 'Remember to attend this event.',Can you send an email to attendees of the first event on {natural_language_event_date}? Title it with the event name and tell them 'Remember to attend this event.',"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
Send an email to attendees of the first event on December 15. Title it with the event name and tell them 'Remember to attend this event.',"['calendar.search_events.func(time_min=""2023-12-15 00:00:00"", time_max=""2023-12-15 23:59:59"")', 'email.send_email.func(recipient=""dmitri.ivanov@atlas.com"", subject=""performance evaluation"", body=""Remember to attend this event."")']",Email sent successfully to Dmitri Ivanov regarding the performance evaluation event.,,improved,"['email.send_email.func(recipient=""dmitri.ivanov@atlas.com"", subject=""performance evaluation"", body=""Remember to attend this event."")']",Send an email to attendees of the first event on {natural_language_event_date}. Title it with the event name and tell them 'Remember to attend this event.',Send an email to attendees of the first event on {natural_language_event_date}. Title it with the event name and tell them 'Remember to attend this event.',"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
"If luis hasn't sent me any emails in the past 4 days, schedule a 30 minute meeting with them for Tuesday at 9:30 called 'Catch up with luis'","['email.search_emails.func(query=""luis"", date_min=""2023-11-26"", date_max=""2023-11-30"")']",No meeting scheduled because Luis has sent emails in the past 4 days.,,improved,[],"If {sender_name} hasn't sent me any emails in the past {days} days, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","If {sender_name} hasn't sent me any emails in the past {days} days, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
"If akira hasn't sent me any emails in the past 2 days, schedule a 30 minute meeting with them for Tuesday at 12:30 called 'Catch up with akira'","['email.search_emails.func(query=""akira"", date_min=""2023-11-28"", date_max=""2023-11-30"")', 'company_directory.find_email_address.func(name=""Akira"")', 'calendar.create_event.func(event_name=""Catch up with akira"", participant_email=""akira.sato@atlas.com"", event_start=""2023-12-05 12:30:00"", duration=""30"")']",00000300,,improved,"['calendar.create_event.func(event_name=""Catch up with akira"", participant_email=""akira.sato@atlas.com"", event_start=""2023-12-05 12:30:00"", duration=""30"")']","If {sender_name} hasn't sent me any emails in the past {days} days, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","If {sender_name} hasn't sent me any emails in the past {days} days, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
"can't remember the last time I met with lena. Can you check if it's been over 2 days? If so, send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?'","['calendar.search_events.func(query=""Lena"", time_min=""2023-01-01"", time_max=""2023-11-30"")', 'email.send_email.func(recipient=""lena.schmidt@atlas.com"", subject=""Catch up soon?"", body=""We haven\'t caught up in a while - can you send some availability over next week?"")']",Email sent successfully to Lena.,,improved,"['email.send_email.func(recipient=""lena.schmidt@atlas.com"", subject=""Catch up soon?"", body=""We haven\'t caught up in a while - can you send some availability over next week?"")']","If I haven't met with {name} in the past {days} days, send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?'","can't remember the last time I met with {name}. Can you check if it's been over {days} days? If so, send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?'","['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
