query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
If we haven't spoke to Quinn Harris in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on Quinn Harris' at the first time I'm free tomorrow,"['customer_relationship_manager.search_customers.func(customer_name=""Quinn Harris"", last_contact_date_min=""2023-11-16"", last_contact_date_max=""2023-11-30"")']",No meeting scheduled as we have spoken to Quinn Harris within the past fortnight.,,improved,[],If we haven't spoke to {current_customer_name} in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow,If we haven't spoke to {current_customer_name} in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow,"['crm', 'calendar']",multi_domain,True,False,uncovered,multi_domain
Can you find the person with the fewest overdue tasks and assign Reese Martinez to them as a new lead in the crm?,"['project_management.search_tasks.func(due_date=""2023-11-29"")', 'customer_relationship_manager.add_customer.func(customer_name=""Reese Martinez"", assigned_to_email=""luis.ortiz@atlas.com"", status=""Lead"", customer_email="""", customer_phone="""", last_contact_date="""", product_interest="""", follow_up_by="""")']",Reese Martinez has been successfully assigned as a new lead to Luis Ortiz.,,improved,"['customer_relationship_manager.add_customer.func(customer_name=""Reese Martinez"", assigned_to_email=""anaya.patel@atlas.com"", status=""Lead"")']", Add {new_customer_name} as a new lead in the crm and assign them to the person with the fewest overdue tasks,Can you find the person with the fewest overdue tasks and assign {new_customer_name} to them as a new lead in the crm?,"['crm', 'project_management']",multi_domain,False,True,uncovered,multi_domain
 Add Taylor Brown as a new lead in the crm and assign them to the person with the fewest overdue tasks,"['project_management.search_tasks.func(task_name="""", assigned_to_email="""", list_name="""", due_date=""2023-11-29"", board="""")', 'customer_relationship_manager.add_customer.func(customer_name=""Taylor Brown"", assigned_to_email=""luis.ortiz@atlas.com"", status=""Lead"", customer_email="""", customer_phone="""", last_contact_date="""", product_interest="""", follow_up_by="""")']",Taylor Brown has been added as a new lead with ID: 00000200 and assigned to Luis Ortiz.,,improved,"['customer_relationship_manager.add_customer.func(customer_name=""Taylor Brown"", assigned_to_email=""anaya.patel@atlas.com"", status=""Lead"")']", Add {new_customer_name} as a new lead in the crm and assign them to the person with the fewest overdue tasks, Add {new_customer_name} as a new lead in the crm and assign them to the person with the fewest overdue tasks,"['crm', 'project_management']",multi_domain,False,True,uncovered,multi_domain
Find the email from November 1 about Task Update on Design UI for landing page and schedule a 30 minute meeting called 'Task Update on Design UI for landing page' at 1 with the sender for December 18.,"['email.search_emails.func(query=""Task Update on Design UI for landing page"", date_min=""2023-11-01"", date_max=""2023-11-01"")', 'calendar.create_event.func(event_name=""Task Update on Design UI for landing page"", participant_email=""nadia.moreau@atlas.com"", event_start=""2023-12-18 13:00:00"", duration=""30"")']",The meeting 'Task Update on Design UI for landing page' has been successfully scheduled with Nadia Moreau for December 18 at 1 PM.,,improved,"['calendar.create_event.func(event_name=""Task Update on Design UI for landing page"", participant_email=""nadia.moreau@atlas.com"", event_start=""2023-12-18 13:00:00"", duration=""30"")']",Find the email from {natural_language_email_date} about {subject} and schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} with the sender for {natural_language_event_date}.,Find the email from {natural_language_email_date} about {subject} and schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} with the sender for {natural_language_event_date}.,"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
Can you find the email from October 26 about 'Update on Board of Directors Conclave' and schedule a 2 hour meeting called 'Update on Board of Directors Conclave' at 2:30 with the sender for November 30?,"['email.search_emails.func(query=""Update on Board of Directors Conclave"", date_min=""2023-10-26"", date_max=""2023-10-26"")', 'calendar.create_event.func(event_name=""Update on Board of Directors Conclave"", participant_email=""anaya.patel@atlas.com"", event_start=""2023-11-30 14:30:00"", duration=""120"")']",The meeting 'Update on Board of Directors Conclave' has been successfully scheduled with Anaya Patel for November 30 at 2:30 PM. Event ID: 00000300.,,improved,"['calendar.create_event.func(event_name=""Update on Board of Directors Conclave"", participant_email=""anaya.patel@atlas.com"", event_start=""2023-11-30 14:30:00"", duration=""120"")']",Find the email from {natural_language_email_date} about {subject} and schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} with the sender for {natural_language_event_date}.,Can you find the email from {natural_language_email_date} about '{subject}' and schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} with the sender for {natural_language_event_date}?,"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
I need to make sure everyone remembers to attend the first event on December 1. Can you send an email to the attendees with the event name as the title and 'Remember to attend this event.' in the email?,"['calendar.search_events.func(time_min=""2023-12-01 00:00:00"", time_max=""2023-12-01 23:59:59"")', 'email.send_email.func(recipient=""olga.petrova@atlas.com"", subject=""Corporate Social Responsibility Initiative"", body=""Remember to attend this event."")']",Email sent successfully to the attendee.,,improved,"['email.send_email.func(recipient=""olga.petrova@atlas.com"", subject=""Corporate Social Responsibility Initiative"", body=""Remember to attend this event."")']",Send an email to attendees of the first event on {natural_language_event_date}. Title it with the event name and tell them 'Remember to attend this event.',I need to make sure everyone remembers to attend the first event on {natural_language_event_date}. Can you send an email to the attendees with the event name as the title and 'Remember to attend this event.' in the email?,"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
"if yuki hasn't sent me any emails in the past 4 days, schedule a half hour meeting with them for Friday at 12 and call it 'Catch up with yuki'","['email.search_emails.func(query=""yuki"", date_min=""2023-11-26"", date_max=""2023-11-30"")']",No meeting scheduled with Yuki as they have sent an email in the past 4 days.,,improved,[],"If {sender_name} hasn't sent me any emails in the past {days} days, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","if {sender_name} hasn't sent me any emails in the past {days} days, schedule a half hour meeting with them for {day_of_week} at {natural_language_time} and call it 'Catch up with {sender_name}'","['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
"I can't remember the last time I heard from yuki. Can you check if they've sent me any emails in the past 4 days? If not, schedule a 30 minute meeting with them for Monday at 3 called 'Catch up with yuki'","['email.search_emails.func(query=""yuki"", date_min=""2023-11-26"", date_max=""2023-11-30"")']",No meeting scheduled as Yuki has sent an email on 2023-11-26.,,improved,[],"If {sender_name} hasn't sent me any emails in the past {days} days, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","I can't remember the last time I heard from {sender_name}. Can you check if they've sent me any emails in the past {days} days? If not, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
"can't remember the last time I met with nia. Can you check if it's been over 2 days? If so, send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?'","['calendar.search_events.func(query=""Nia"", time_min=""2023-11-28 00:00:00"", time_max=""2023-11-30 00:00:00"")', 'email.send_email.func(recipient=""nia.johnson@atlas.com"", subject=""Catch up soon?"", body=""We haven\'t caught up in a while - can you send some availability over next week?"")']",Email sent successfully to Nia.,,improved,[],"If I haven't met with {name} in the past {days} days, send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?'","can't remember the last time I met with {name}. Can you check if it's been over {days} days? If so, send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?'","['email', 'calendar']",multi_domain,False,True,uncovered,multi_domain
"can't remember the last time I met with santiago. Can you check if it's been over 2 days? If so, send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?'","['calendar.search_events.func(query=""Santiago"", time_min=""2023-11-28"", time_max=""2023-11-30"")', 'company_directory.find_email_address.func(name=""Santiago"")', 'email.send_email.func(recipient=""santiago.martinez@atlas.com"", subject=""Catch up soon?"", body=""We haven\'t caught up in a while - can you send some availability over next week?"")']",Email sent successfully to Santiago.,,improved,"['email.send_email.func(recipient=""santiago.martinez@atlas.com"", subject=""Catch up soon?"", body=""We haven\'t caught up in a while - can you send some availability over next week?"")']","If I haven't met with {name} in the past {days} days, send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?'","can't remember the last time I met with {name}. Can you check if it's been over {days} days? If so, send them an email titled 'Catch up soon?' saying 'We haven't caught up in a while - can you send some availability over next week?'","['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
"Did I already schedule a meeting with akira in the next 2 days? If not, send them an email titled 'Catch up soon?' saying 'We have not caught up in a while - can you send some availability over next week?'","['calendar.search_events.func(query=""akira"", time_min=""2023-11-30 00:00:00"", time_max=""2023-12-02 23:59:59"")', 'company_directory.find_email_address.func(name=""Akira"")', 'email.send_email.func(recipient=""akira.sato@atlas.com"", subject=""Catch up soon?"", body=""We have not caught up in a while - can you send some availability over next week?"")']",Email sent successfully to Akira.,,improved,"['email.send_email.func(recipient=""akira.sato@atlas.com"", subject=""Catch up soon?"", body=""We have not caught up in a while - can you send some availability over next week?"")']","If I don't have any meetings scheduled with {name} in the next {days} days, send them an email titled 'Catch up soon?' saying 'We have not caught up in a while - can you send some availability over next week?'","Did I already schedule a meeting with {name} in the next {days} days? If not, send them an email titled 'Catch up soon?' saying 'We have not caught up in a while - can you send some availability over next week?'","['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
"I think jinsoo might have some overdue tasks. Can you check and if so, send them an email titled 'Overdue tasks' saying 'You have a few overdue tasks - can you update me on them?'. Otherwise email them with 'Nice work keeping on top of your tasks this sprint!' titled 'Good work this sprint'","['project_management.search_tasks.func(assigned_to_email=""jinsoo@example.com"", due_date=""2023-11-29"")', 'email.send_email.func(recipient=""jinsoo@example.com"", subject=""Good work this sprint"", body=""Nice work keeping on top of your tasks this sprint!"")']",Email sent successfully to Jinsoo regarding their task management.,,improved,"['email.send_email.func(recipient=""jinsoo.kim@atlas.com"", subject=""Overdue tasks"", body=""You have a few overdue tasks - can you update me on them?"")']","If {name} has any overdue tasks, send them an email titled 'Overdue tasks' saying 'You have a few overdue tasks - can you update me on them?'. Otherwise email them with 'Nice work keeping on top of your tasks this sprint!' titled 'Good work this sprint'","I think {name} might have some overdue tasks. Can you check and if so, send them an email titled 'Overdue tasks' saying 'You have a few overdue tasks - can you update me on them?'. Otherwise email them with 'Nice work keeping on top of your tasks this sprint!' titled 'Good work this sprint'","['email', 'project_management']",multi_domain,False,True,uncovered,multi_domain
"I think carlos might have some overdue tasks. Can you check and if so, send them an email titled 'Overdue tasks' saying 'You have a few overdue tasks - can you update me on them?'. Otherwise email them with 'Nice work keeping on top of your tasks this sprint!' titled 'Good work this sprint'","['project_management.search_tasks.func(assigned_to_email=""carlos@example.com"", list_name="""", due_date=""2023-11-29"", board="""")', 'email.send_email.func(recipient=""carlos@example.com"", subject=""Good work this sprint"", body=""Nice work keeping on top of your tasks this sprint!"")']",Email sent successfully to Carlos regarding his tasks.,,improved,"['email.send_email.func(recipient=""carlos.rodriguez@atlas.com"", subject=""Good work this sprint"", body=""Nice work keeping on top of your tasks this sprint!"")']","If {name} has any overdue tasks, send them an email titled 'Overdue tasks' saying 'You have a few overdue tasks - can you update me on them?'. Otherwise email them with 'Nice work keeping on top of your tasks this sprint!' titled 'Good work this sprint'","I think {name} might have some overdue tasks. Can you check and if so, send them an email titled 'Overdue tasks' saying 'You have a few overdue tasks - can you update me on them?'. Otherwise email them with 'Nice work keeping on top of your tasks this sprint!' titled 'Good work this sprint'","['email', 'project_management']",multi_domain,False,True,uncovered,multi_domain
"I think leila might have some overdue tasks. Can you check and if so, book a half hour meeting with them called 'Catch up on overdue tasks' at the earliest time I'm free tomorrow","['project_management.search_tasks.func(assigned_to_email=""leila"", due_date=""2023-11-29"")', 'calendar.create_event.func(event_name=""Catch up on overdue tasks"", participant_email=""leila.azizi@atlas.com"", event_start=""2023-12-01 09:00:00"", duration=""30"")']",Meeting scheduled with Leila for 'Catch up on overdue tasks' on 2023-12-01 at 9:00 AM.,,improved,"['calendar.create_event.func(event_name=""Catch up on overdue tasks"", participant_email=""leila.azizi@atlas.com"", event_start=""2023-12-01 13:00:00"", duration=""30"")']",Book a half-hour meeting with {name} called 'Catch up on overdue tasks' at the earliest time I'm free tomorrowif they have any overdue tasks,"I think {name} might have some overdue tasks. Can you check and if so, book a half hour meeting with them called 'Catch up on overdue tasks' at the earliest time I'm free tomorrow","['calendar', 'project_management']",multi_domain,False,True,uncovered,multi_domain
"can you check if chenwei has any overdue tasks? If so, book a 30 minute meeting with them called 'Catch up on overdue tasks' at the earliest time I'm free tomorrow","['project_management.search_tasks.func(task_name="""", assigned_to_email=""chenwei@example.com"", list_name="""", due_date=""2023-11-29"", board="""")']",Chenwei has no overdue tasks.,,improved,"['calendar.create_event.func(event_name=""Catch up on overdue tasks"", participant_email=""chenwei.zhang@atlas.com"", event_start=""2023-12-01 13:00:00"", duration=""30"")']",Book a half-hour meeting with {name} called 'Catch up on overdue tasks' at the earliest time I'm free tomorrowif they have any overdue tasks,"can you check if {name} has any overdue tasks? If so, book a 30 minute meeting with them called 'Catch up on overdue tasks' at the earliest time I'm free tomorrow","['calendar', 'project_management']",multi_domain,False,False,uncovered,multi_domain
