query,prediction,full_response,error,tool_set,ground_truth,base_template,chosen_template,domains,source_domain,correct,unwanted_side_effects,coverage,domain
If we haven't spoke to Cameron Anderson in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on Cameron Anderson' at the first time I'm free tomorrow,"['customer_relationship_manager.search_customers.func(customer_name=""Cameron Anderson"")', 'calendar.search_events.func(time_min=""2023-12-01 09:00:00"", time_max=""2023-12-01 18:00:00"")', 'calendar.create_event.func(event_name=""Update on Cameron Anderson"", participant_email=""sofia.santos@atlas.com"", event_start=""2023-12-01 15:00:00"", duration=""30"")']",The meeting 'Update on Cameron Anderson' has been successfully booked for 15:00 (3:00 PM) tomorrow with Sofia Santos.,,improved,"['calendar.create_event.func(event_name=""Update on Cameron Anderson"", participant_email=""sofia.santos@atlas.com"", event_start=""2023-12-01 13:00:00"", duration=""30"")']",If we haven't spoke to {current_customer_name} in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow,If we haven't spoke to {current_customer_name} in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow,"['crm', 'calendar']",multi_domain,False,True,uncovered,multi_domain
If we haven't spoke to Jamie Anderson in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on Jamie Anderson' at the first time I'm free tomorrow,"['customer_relationship_manager.search_customers.func(customer_name=""Jamie Anderson"")', 'calendar.search_events.func(time_min=""2026-07-24 09:00:00"", time_max=""2026-07-24 18:00:00"")', 'calendar.create_event.func(event_name=""Update on Jamie Anderson"", participant_email=""nadia.moreau@atlas.com"", event_start=""2026-07-24 09:00:00"", duration=""30"")']",A 30-minute meeting with Nadia Moreau titled 'Update on Jamie Anderson' has been scheduled for 9:00 AM tomorrow.,,improved,"['calendar.create_event.func(event_name=""Update on Jamie Anderson"", participant_email=""nadia.moreau@atlas.com"", event_start=""2023-12-01 13:00:00"", duration=""30"")']",If we haven't spoke to {current_customer_name} in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow,If we haven't spoke to {current_customer_name} in the past fortnight book a 30-minute meeting with whoever is assigned to them called 'Update on {current_customer_name}' at the first time I'm free tomorrow,"['crm', 'calendar']",multi_domain,False,True,uncovered,multi_domain
 Add Alex Davis as a new lead in the crm and assign them to the person with the fewest overdue tasks,"['project_management.search_tasks.func(list_name=""Backlog"", due_date=""2023-11-30"")', 'customer_relationship_manager.add_customer.func(customer_name=""Alex Davis"", assigned_to_email=""jinsoo.kim@atlas.com"", status=""Lead"")']",Alex Davis has been added as a new lead and assigned to Jinsoo Kim with customer ID: 00000200,,improved,"['customer_relationship_manager.add_customer.func(customer_name=""Alex Davis"", assigned_to_email=""anaya.patel@atlas.com"", status=""Lead"")']", Add {new_customer_name} as a new lead in the crm and assign them to the person with the fewest overdue tasks, Add {new_customer_name} as a new lead in the crm and assign them to the person with the fewest overdue tasks,"['crm', 'project_management']",multi_domain,False,True,uncovered,multi_domain
 Add Taylor Brown as a new lead in the crm and assign them to the person with the fewest overdue tasks,"['project_management.search_tasks.func(list_name=""Backlog"", due_date=""<2026-07-23"")', 'project_management.search_tasks.func(list_name=""Backlog"")', 'customer_relationship_manager.add_customer.func(customer_name=""Taylor Brown"", assigned_to_email=""dmitri.ivanov@atlas.com"", status=""Lead"")']",Taylor Brown has been added as a new lead and assigned to Dmitri Ivanov.,,improved,"['customer_relationship_manager.add_customer.func(customer_name=""Taylor Brown"", assigned_to_email=""anaya.patel@atlas.com"", status=""Lead"")']", Add {new_customer_name} as a new lead in the crm and assign them to the person with the fewest overdue tasks, Add {new_customer_name} as a new lead in the crm and assign them to the person with the fewest overdue tasks,"['crm', 'project_management']",multi_domain,False,True,uncovered,multi_domain
Find the email from November 1 about Task Update on Design UI for landing page and schedule a 30 minute meeting called 'Task Update on Design UI for landing page' at 1 with the sender for December 18.,"['email.search_emails.func(query=""Task Update on Design UI for landing page"", date_min=""2023-11-01"", date_max=""2023-11-01"")', 'calendar.create_event.func(event_name=""Task Update on Design UI for landing page"", participant_email=""nadia.moreau@atlas.com"", event_start=""2023-12-18 13:00:00"", duration=""30"")']",The meeting 'Task Update on Design UI for landing page' has been scheduled for December 18 at 1 PM with Nadia Moreau.,,improved,"['calendar.create_event.func(event_name=""Task Update on Design UI for landing page"", participant_email=""nadia.moreau@atlas.com"", event_start=""2023-12-18 13:00:00"", duration=""30"")']",Find the email from {natural_language_email_date} about {subject} and schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} with the sender for {natural_language_event_date}.,Find the email from {natural_language_email_date} about {subject} and schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} with the sender for {natural_language_event_date}.,"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
I need to schedule a 30 minute meeting called 'Update on Annual Budget Planning Session' at 10:30 for December 8. It's with the sender of the email from November 13 about 'Update on Annual Budget Planning Session'. Can you do that?,"['email.search_emails.func(query=""Update on Annual Budget Planning Session"", date_min=""2023-11-13"", date_max=""2023-11-13"")', 'calendar.create_event.func(event_name=""Update on Annual Budget Planning Session"", participant_email=""anaya.patel@atlas.com"", event_start=""2023-12-08 10:30:00"", duration=""30"")']",The meeting 'Update on Annual Budget Planning Session' with Anaya Patel has been scheduled for December 8 at 10:30 AM. The event ID is 00000300.,,improved,"['calendar.create_event.func(event_name=""Update on Annual Budget Planning Session"", participant_email=""anaya.patel@atlas.com"", event_start=""2023-12-08 10:30:00"", duration=""30"")']",Find the email from {natural_language_email_date} about {subject} and schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} with the sender for {natural_language_event_date}.,I need to schedule a {natural_language_duration} meeting called '{subject}' at {natural_language_time} for {natural_language_event_date}. It's with the sender of the email from {natural_language_email_date} about '{subject}'. Can you do that?,"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
Can you send an email to attendees of the first event on December 21? Title it with the event name and tell them 'Remember to attend this event.',"['calendar.search_events.func(time_min=""2023-12-21 00:00:00"", time_max=""2023-12-21 23:59:59"")', 'calendar.get_event_information_by_id.func(event_id=""00000174"", field=""event_name"")', 'calendar.get_event_information_by_id.func(event_id=""00000174"", field=""participant_email"")', 'email.send_email.func(recipient=""leila.azizi@atlas.com"", subject=""New Employee Onboarding"", body=""Remember to attend this event."")']",Email sent successfully to the attendees of the event 'New Employee Onboarding'.,,improved,"['email.send_email.func(recipient=""leila.azizi@atlas.com"", subject=""New Employee Onboarding"", body=""Remember to attend this event."")']",Send an email to attendees of the first event on {natural_language_event_date}. Title it with the event name and tell them 'Remember to attend this event.',Can you send an email to attendees of the first event on {natural_language_event_date}? Title it with the event name and tell them 'Remember to attend this event.',"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
I need to make sure everyone remembers to attend the first event on December 21. Can you send an email to the attendees with the event name as the title and 'Remember to attend this event.' in the email?,"['calendar.search_events.func(time_min=""2023-12-21 00:00:00"", time_max=""2023-12-21 23:59:59"")', 'email.send_email.func(recipient=""leila.azizi@atlas.com"", subject=""New Employee Onboarding"", body=""Remember to attend this event."")']",The email has been sent successfully to the attendees of the event on December 21.,,improved,"['email.send_email.func(recipient=""leila.azizi@atlas.com"", subject=""New Employee Onboarding"", body=""Remember to attend this event."")']",Send an email to attendees of the first event on {natural_language_event_date}. Title it with the event name and tell them 'Remember to attend this event.',I need to make sure everyone remembers to attend the first event on {natural_language_event_date}. Can you send an email to the attendees with the event name as the title and 'Remember to attend this event.' in the email?,"['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
"I can't remember the last time I heard from kofi. Can you check if they've sent me any emails in the past 4 days? If not, schedule a 30 minute meeting with them for Tuesday at 10:30 called 'Catch up with kofi'","['company_directory.find_email_address.func(name=""kofi"")', 'email.search_emails.func(query=""kofi.mensah@atlas.com"", date_min=""2026-07-19"", date_max=""2026-07-23"")', 'calendar.create_event.func(event_name=""Catch up with kofi"", participant_email=""kofi.mensah@atlas.com"", event_start=""2026-07-28 10:30:00"", duration=""30"")']",No emails from Kofi in the past 4 days. A 30-minute meeting with Kofi has been scheduled for Tuesday at 10:30 with event ID 00000300.,,improved,"['calendar.create_event.func(event_name=""Catch up with kofi"", participant_email=""kofi.mensah@atlas.com"", event_start=""2023-12-05 10:30:00"", duration=""30"")']","If {sender_name} hasn't sent me any emails in the past {days} days, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","I can't remember the last time I heard from {sender_name}. Can you check if they've sent me any emails in the past {days} days? If not, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","['email', 'calendar']",multi_domain,False,True,uncovered,multi_domain
"If akira hasn't sent me any emails in the past 2 days, schedule a 30 minute meeting with them for Tuesday at 12:30 called 'Catch up with akira'","['email.search_emails.func(query=""akira"", date_min=""2023-11-28"", date_max=""2023-11-30"")', 'company_directory.find_email_address.func(name=""akira"")', 'calendar.create_event.func(event_name=""Catch up with akira"", participant_email=""akira.sato@atlas.com"", event_start=""2023-12-05 12:30:00"", duration=""30"")']","Meeting 'Catch up with akira' scheduled for Tuesday, December 5th at 12:30 PM with akira.sato@atlas.com. Event ID: 00000300",,improved,"['calendar.create_event.func(event_name=""Catch up with akira"", participant_email=""akira.sato@atlas.com"", event_start=""2023-12-05 12:30:00"", duration=""30"")']","If {sender_name} hasn't sent me any emails in the past {days} days, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","If {sender_name} hasn't sent me any emails in the past {days} days, schedule a 30 minute meeting with them for {day_of_week} at {natural_language_time} called 'Catch up with {sender_name}'","['email', 'calendar']",multi_domain,True,False,uncovered,multi_domain
